method,N_visitor,N_native,W_eff,seed,weff_util_visitor,weff_util_native,weff_util_total,proportionality,visitor_share,ideal_share,native_preservation
dcf_self_excl,10,10,100,123,0.3612,0.28679999999999994,0.648,0.9909790043290043,0.49548950216450216,0.5,0.5222902097902097
and,10,10,100,123,0.60884,0.09648000000000001,0.7053200000000001,1.6709087634587636,0.8354543817293818,0.5,0.1756993006993007
oracle,10,10,100,456,0.55472,0.21522000000000002,0.7699400000000001,1.345832917082917,0.6729164585414585,0.5,0.3914229594063729
pnd,10,10,100,456,0.61984,0.15540000000000004,0.77524,1.5227582473082473,0.7613791236541236,0.5,0.28262767350501977
pnd_cd,10,10,100,456,0.61032,0.1587,0.76902,1.5083443334443336,0.7541721667221668,0.5,0.28862941946748155
ema_ad_low,10,10,100,456,0.5066,0.24624000000000001,0.75284,1.2387371017871016,0.6193685508935508,0.5,0.4478393714535139
consec_L2,10,10,100,456,0.37972,0.32633999999999996,0.7060599999999999,0.9504822122322122,0.4752411061161061,0.5,0.5935181143605414
dcf_self_excl,10,10,100,456,0.35896000000000006,0.28896,0.6479199999999999,0.9872782495282495,0.49363912476412475,0.5,0.5255347010039285
and,10,10,100,456,0.6127999999999999,0.09756000000000001,0.71036,1.6712644522144524,0.8356322261072262,0.5,0.17743343518114366
oracle,10,10,100,789,0.5502400000000001,0.22092,0.77116,1.3315680902430902,0.6657840451215451,0.5,0.4014829353396576
pnd,10,10,100,789,0.6264400000000001,0.15054,0.77698,1.5377127816627818,0.7688563908313909,0.5,0.27357976229418823
pnd_cd,10,10,100,789,0.6096,0.16092,0.77052,1.5032179986679988,0.7516089993339994,0.5,0.2924435721295388
ema_ad_low,10,10,100,789,0.5028,0.24966,0.75246,1.231722777222777,0.6158613886113885,0.5,0.45371279031730455
consec_L2,10,10,100,789,0.3801600000000001,0.32555999999999996,0.70572,0.9542862082362082,0.4771431041181041,0.5,0.5916475847781049
