access,W_eff,N,method,seed,succ_v,succ_n,useful
basic,420,20,pace,42,0.1378952380952381,0.4837142857142857,0.6216095238095238
basic,420,20,pace,123,0.1326142857142857,0.48336666666666667,0.6159809523809524
basic,420,20,pace,456,0.12887142857142858,0.4912238095238095,0.6200952380952381
basic,420,20,pace,789,0.13366666666666666,0.4810952380952381,0.6147619047619047
basic,420,20,pace,1234,0.12508571428571427,0.4856285714285714,0.6107142857142858
basic,420,20,oracle,42,0.3930190476190476,0.1397142857142857,0.5327333333333333
basic,420,20,oracle,123,0.38233809523809525,0.14076190476190475,0.5231
basic,420,20,oracle,456,0.3987857142857143,0.14391428571428572,0.5427
basic,420,20,oracle,789,0.4029285714285714,0.1359,0.5388285714285714
basic,420,20,oracle,1234,0.3863761904761905,0.14620952380952382,0.5325857142857143
basic,840,20,dcf_excl,42,0.18315714285714285,0.08429761904761905,0.2674547619047619
basic,840,20,dcf_excl,123,0.16701666666666667,0.09051428571428571,0.25753095238095236
basic,840,20,dcf_excl,456,0.1795095238095238,0.07949523809523809,0.2590047619047619
basic,840,20,dcf_excl,789,0.17806666666666668,0.08753333333333334,0.2656
basic,840,20,dcf_excl,1234,0.18162619047619047,0.08304285714285714,0.26466904761904764
basic,840,20,pace,42,0.15831190476190476,0.4575452380952381,0.6158571428571429
basic,840,20,pace,123,0.15527142857142856,0.4566142857142857,0.6118857142857143
basic,840,20,pace,456,0.16254761904761905,0.44902857142857144,0.6115761904761905
basic,840,20,pace,789,0.16642857142857143,0.45071666666666665,0.6171452380952381
basic,840,20,pace,1234,0.16019761904761906,0.4577333333333333,0.6179309523809524
basic,840,20,oracle,42,0.4151452380952381,0.11815238095238095,0.5332976190476191
basic,840,20,oracle,123,0.4142071428571429,0.12022142857142858,0.5344285714285715
basic,840,20,oracle,456,0.38871190476190476,0.12605,0.5147619047619048
basic,840,20,oracle,789,0.4179547619047619,0.12024285714285714,0.5381976190476191
basic,840,20,oracle,1234,0.40384285714285717,0.11845476190476191,0.5222976190476191
basic,1680,20,dcf_excl,42,0.20917857142857144,0.09513809523809524,0.3043166666666667
basic,1680,20,dcf_excl,123,0.21070238095238095,0.09506190476190476,0.3057642857142857
basic,1680,20,dcf_excl,456,0.20350714285714286,0.09384285714285714,0.29735
basic,1680,20,dcf_excl,789,0.21158690476190475,0.09402976190476191,0.30561666666666665
basic,1680,20,dcf_excl,1234,0.21503690476190476,0.092375,0.3074119047619048
basic,1680,20,pace,42,0.2613964285714286,0.3291071428571429,0.5905035714285715
basic,1680,20,pace,123,0.25469166666666665,0.33033690476190475,0.5850285714285715
basic,1680,20,pace,456,0.25909642857142856,0.33017380952380954,0.589270238095238
basic,1680,20,pace,789,0.2573416666666667,0.32832261904761906,0.5856642857142857
basic,1680,20,pace,1234,0.2589261904761905,0.3354904761904762,0.5944166666666667
basic,1680,20,oracle,42,0.41623809523809524,0.10706071428571429,0.5232988095238095
basic,1680,20,oracle,123,0.4201666666666667,0.10937976190476191,0.5295464285714285
basic,1680,20,oracle,456,0.40776904761904764,0.11875833333333333,0.5265273809523809
basic,1680,20,oracle,789,0.41331309523809523,0.11207619047619048,0.5253892857142857
basic,1680,20,oracle,1234,0.4108309523809524,0.11031904761904762,0.52115
rts,100,20,dcf_excl,42,0.268,0.32292,0.59092
rts,100,20,dcf_excl,123,0.29338,0.3202,0.61358
rts,100,20,dcf_excl,456,0.29186,0.31594,0.6078
rts,100,20,dcf_excl,789,0.2848,0.32838,0.61318
rts,100,20,dcf_excl,1234,0.29718,0.31264,0.60982
rts,100,20,pace,42,0.1548,0.52344,0.67824
rts,100,20,pace,123,0.13114,0.54374,0.67488
rts,100,20,pace,456,0.11674,0.55028,0.66702
rts,100,20,pace,789,0.13042,0.53708,0.6675
rts,100,20,pace,1234,0.14348,0.53712,0.6806
rts,100,20,oracle,42,0.34348,0.30906,0.65254
rts,100,20,oracle,123,0.37102,0.28264,0.65366
rts,100,20,oracle,456,0.33856,0.30306,0.64162
rts,100,20,oracle,789,0.31574,0.33388,0.64962
rts,100,20,oracle,1234,0.3288,0.31684,0.64564
rts,200,20,dcf_excl,42,0.36376,0.2353,0.59906
rts,200,20,dcf_excl,123,0.37488,0.24446,0.61934
rts,200,20,dcf_excl,456,0.33871,0.2649,0.60361
rts,200,20,dcf_excl,789,0.36467,0.23946,0.60413
rts,200,20,dcf_excl,1234,0.35745,0.25377,0.61122
rts,200,20,pace,42,0.16844,0.54173,0.71017
rts,200,20,pace,123,0.17109,0.54073,0.71182
rts,200,20,pace,456,0.16964,0.54469,0.71433
rts,200,20,pace,789,0.16383,0.55058,0.71441
