num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
10,fixed_q2_arq,False,False,2,42,188.13253012048193,803.0,1416.0,1.819277108433735,166,0.15841584158415842
10,fixed_q2_arq,False,False,2,123,184.9299363057325,827.0,1247.0,1.929936305732484,157,0.203125
10,fixed_q2_arq,False,False,2,456,203.63803680981596,718.0,1485.0,1.8957055214723926,163,0.21739130434782608
10,fixed_q3_arq,False,False,3,42,177.19753086419752,710.0,1189.0,1.6728395061728396,162,0.11904761904761904
10,fixed_q3_arq,False,False,3,123,196.34146341463415,744.0,1581.0,1.75,164,0.08333333333333333
10,fixed_q3_arq,False,False,3,456,232.18709677419355,901.0,2209.0,1.7870967741935484,155,0.08333333333333333
10,adaptive_arq,False,True,0,42,185.92307692307693,775.0,1489.0,2.1538461538461537,182,0.5396825396825397
10,adaptive_arq,False,True,0,123,201.66467065868264,816.0,1136.0,2.437125748502994,167,0.5242290748898678
10,adaptive_arq,False,True,0,456,214.6727272727273,686.0,1206.0,2.381818181818182,165,0.47058823529411764
10,fixed_q0_harq,True,False,0,42,168.5243243243243,687.0,1142.0,2.135135135135135,185,0.5380434782608695
10,fixed_q0_harq,True,False,0,123,204.22471910112358,745.0,1680.0,2.4101123595505616,178,0.5207547169811321
10,fixed_q0_harq,True,False,0,456,213.45562130177515,865.0,2221.0,2.3076923076923075,169,0.5333333333333333
10,fixed_q1_harq,True,False,1,42,187.82758620689654,739.0,1524.0,1.8793103448275863,174,0.30201342281879195
10,fixed_q1_harq,True,False,1,123,187.47752808988764,721.0,1879.0,1.9719101123595506,178,0.313953488372093
10,fixed_q1_harq,True,False,1,456,207.27325581395348,832.0,1481.0,2.0232558139534884,172,0.37341772151898733
10,fixed_q2_harq,True,False,2,42,197.78064516129032,979.0,1920.0,1.903225806451613,155,0.14457831325301204
10,fixed_q2_harq,True,False,2,123,196.49112426035504,825.0,1555.0,1.78698224852071,169,0.1694915254237288
10,fixed_q2_harq,True,False,2,456,206.7235294117647,757.0,1485.0,1.8058823529411765,170,0.17777777777777778
10,fixed_q3_harq,True,False,3,42,189.66447368421052,814.0,1216.0,1.7828947368421053,152,0.0963855421686747
10,fixed_q3_harq,True,False,3,123,209.16969696969696,829.0,1830.0,1.8181818181818181,165,0.18888888888888888
10,fixed_q3_harq,True,False,3,456,199.6375,799.0,1729.0,1.8875,160,0.0784313725490196
10,adaptive_harq,True,True,0,42,170.4972972972973,650.0,1142.0,2.156756756756757,185,0.5487179487179488
10,adaptive_harq,True,True,0,123,204.22471910112358,745.0,1680.0,2.4101123595505616,178,0.5207547169811321
10,adaptive_harq,True,True,0,456,228.64912280701753,1070.0,2221.0,2.2690058479532165,171,0.5298013245033113
20,fixed_q0_arq,False,False,0,42,359.77653631284915,1168.0,1605.0,3.5865921787709496,179,0.6792873051224945
20,fixed_q0_arq,False,False,0,123,292.29050279329607,921.0,1472.0,3.8435754189944134,179,0.750561797752809
20,fixed_q0_arq,False,False,0,456,330.63529411764705,1214.0,1491.0,3.8529411764705883,170,0.7325301204819277
20,fixed_q1_arq,False,False,1,42,353.9325842696629,1564.0,2408.0,2.606741573033708,178,0.554945054945055
20,fixed_q1_arq,False,False,1,123,332.2881355932203,1354.0,2498.0,2.84180790960452,177,0.6082089552238806
20,fixed_q1_arq,False,False,1,456,382.16483516483515,1597.0,2585.0,2.620879120879121,182,0.5091743119266054
20,fixed_q2_arq,False,False,2,42,360.2415730337079,1642.0,2359.0,2.292134831460674,178,0.36363636363636365
20,fixed_q2_arq,False,False,2,123,375.0223463687151,1519.0,2828.0,2.340782122905028,179,0.3433734939759036
20,fixed_q2_arq,False,False,2,456,397.01169590643275,1478.0,3023.0,2.3508771929824563,171,0.3184713375796178
20,fixed_q3_arq,False,False,3,42,381.04571428571427,1832.0,2709.0,2.1485714285714286,175,0.14444444444444443
20,fixed_q3_arq,False,False,3,123,378.8490566037736,1455.0,2357.0,2.4276729559748427,159,0.20454545454545456
20,fixed_q3_arq,False,False,3,456,418.5426829268293,1841.0,3155.0,2.1890243902439024,164,0.1565217391304348
20,adaptive_arq,False,True,0,42,368.2573099415205,1230.0,1860.0,3.672514619883041,171,0.6682027649769585
20,adaptive_arq,False,True,0,123,329.0846560846561,1230.0,1676.0,3.3703703703703702,189,0.6932367149758454
20,adaptive_arq,False,True,0,456,355.0483870967742,1343.0,1774.0,3.1881720430107525,186,0.6777777777777778
20,fixed_q0_harq,True,False,0,42,327.185393258427,1116.0,1737.0,3.6292134831460676,178,0.6971046770601337
20,fixed_q0_harq,True,False,0,123,292.29050279329607,921.0,1472.0,3.8435754189944134,179,0.750561797752809
20,fixed_q0_harq,True,False,0,456,307.24867724867727,1275.0,1663.0,3.35978835978836,189,0.7523510971786834
20,fixed_q1_harq,True,False,1,42,353.9325842696629,1564.0,2408.0,2.606741573033708,178,0.554945054945055
20,fixed_q1_harq,True,False,1,123,362.6923076923077,1388.0,2054.0,2.7527472527472527,182,0.5776892430278885
20,fixed_q1_harq,True,False,1,456,353.3898305084746,1394.0,2681.0,2.6440677966101696,177,0.533678756476684
20,fixed_q2_harq,True,False,2,42,360.2415730337079,1642.0,2359.0,2.292134831460674,178,0.36363636363636365
20,fixed_q2_harq,True,False,2,123,375.0223463687151,1519.0,2828.0,2.340782122905028,179,0.3433734939759036
20,fixed_q2_harq,True,False,2,456,406.3257142857143,1601.0,2886.0,2.342857142857143,175,0.32894736842105265
20,fixed_q3_harq,True,False,3,42,401.02366863905326,1246.0,2908.0,2.2781065088757395,169,0.18811881188118812
20,fixed_q3_harq,True,False,3,123,395.19018404907973,1455.0,2587.0,2.361963190184049,163,0.20454545454545456
20,fixed_q3_harq,True,False,3,456,403.54597701149424,1712.0,4061.0,2.1091954022988504,174,0.11363636363636363
20,adaptive_harq,True,True,0,42,354.8659217877095,1139.0,2010.0,3.368715083798883,179,0.6956521739130435
20,adaptive_harq,True,True,0,123,329.0846560846561,1230.0,1676.0,3.3703703703703702,189,0.6932367149758454
20,adaptive_harq,True,True,0,456,353.5054347826087,1343.0,1827.0,3.1467391304347827,184,0.671875
30,fixed_q0_arq,False,False,0,42,355.5365853658537,1203.0,1495.0,5.664634146341464,164,0.8151001540832049
