access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,210,5,10,0.13293838131178873,0.7131587301587302,0.1639586903781522,0.5952604096933994,0.009907618155040836,0.01111259874146472
rts,210,5,10,0.16975418188978358,0.7113253968253969,0.19842235040780123,0.598334655035686,0.010441448585778482,0.013481363996827915
rts,210,5,10,0.21676570742564272,0.7120793650793651,0.23750027863846104,0.5943017656500803,0.012306046013911182,0.016452648475120384
rts,210,5,10,0.2767965501212033,0.7106507936507936,0.2991557034687633,0.5920543927476336,0.015064658045593921,0.020530595920543928
rts,210,5,10,0.35345226451597084,0.7128571428571429,0.38563794255177025,0.5875491658754917,0.0211582802115828,0.028075410280754103
rts,210,5,10,0.4513369232266959,0.7090873015873016,0.4935250993340422,0.5872249060654858,0.030595813204508857,0.03542673107890499
rts,210,5,10,0.5763296453813948,0.7105952380952381,0.6460713687384821,0.5758910141736617,0.041282509976606575,0.04871336177239576
rts,210,5,10,0.7359377065160035,0.6998015873015873,0.7836574992911823,0.5576976039658497,0.06293032222528229,0.05879922886257229
rts,210,5,10,0.9397474383147868,0.6898888888888889,1.0629731035593495,0.5416895982388552,0.09190974133186572,0.0802146395156852
rts,210,5,10,1.2,0.6725555555555556,1.3548181539260344,0.5115830115830116,0.1361003861003861,0.09845559845559845
rts,210,5,20,0.05,0.6314603174603175,0.23503091850585692,0.5097670924117205,0.008014024542950162,0.008264462809917356
rts,210,5,20,0.0638469417991665,0.6332698412698413,0.2382444355323842,0.5101809954751131,0.007667169431875314,0.008295625942684766
rts,210,5,20,0.0815286395421231,0.6323968253968254,0.2644888431515273,0.509284818067754,0.007653701380175659,0.00903387703889586
rts,210,5,20,0.10410708607622314,0.6356428571428572,0.30059557253624003,0.5079224236278362,0.007478767904677399,0.010267461021675752
rts,210,5,20,0.13293838131178873,0.6368253968253968,0.2978564307078764,0.5084465896100597,0.00800203226216182,0.010288327194208052
rts,210,5,20,0.16975418188978358,0.6333888888888889,0.30385805756387285,0.5110999623730089,0.009155901166436725,0.010410134202934905
rts,210,5,20,0.21676570742564272,0.6322777777777778,0.32409906234701946,0.5116308154077038,0.010880440220110055,0.01113056528264132
rts,210,5,20,0.2767965501212033,0.6329920634920635,0.36216256880273834,0.5123780945236309,0.012128032008002,0.012503125781445362
rts,210,5,20,0.35345226451597084,0.636968253968254,0.38195569289042836,0.511933324914762,0.014774592751610052,0.013259249905291072
rts,210,5,20,0.4513369232266959,0.635547619047619,0.4346957379587657,0.5095316247948491,0.017295795985355383,0.015149602322939023
rts,210,5,20,0.5763296453813948,0.6384047619047619,0.5338828180360272,0.5065697155249395,0.023855083556576093,0.019390228345452225
rts,210,5,20,0.7359377065160035,0.6353888888888889,0.5823829925429995,0.5050196975473377,0.035201423306646336,0.02160376159613674
rts,210,5,20,0.9397474383147868,0.6323333333333333,0.7360619524562592,0.4971326621638843,0.0539059513189754,0.029183127309799925
rts,210,5,20,1.2,0.6275238095238095,1.2329893256437496,0.4865974092599718,0.08387841477491342,0.04540207772220085
rts,210,20,0,0.05,0.6766111111111112,1.0,0.8823529411764706,0.009260631204622907,0.1083864276189065
rts,210,20,0,0.0638469417991665,0.6751587301587302,1.0,0.8698598130841122,0.012694704049844237,0.11744548286604362
rts,210,20,0,0.0815286395421231,0.6908809523809524,1.0,0.8534190633417326,0.014249717612303415,0.13233121904596404
rts,210,20,0,0.10410708607622314,0.6920793650793651,1.0,0.8381227841015115,0.01838029483112521,0.1434969210673633
rts,210,20,0,0.13293838131178873,0.6984761904761905,1.0,0.8174177215189874,0.02430379746835443,0.15827848101265823
rts,210,20,0,0.16975418188978358,0.7098888888888889,1.0,0.7885493501931858,0.027748507200561996,0.1837021426062522
rts,210,20,0,0.21676570742564272,0.7040238095238095,1.0,0.7588372952334032,0.0453257790368272,0.19583692572976968
rts,210,20,0,0.2767965501212033,0.7078888888888889,1.0,0.7278957269551196,0.057780166621875836,0.21432410642300456
rts,210,20,0,0.35345226451597084,0.6972063492063492,1.0,0.6910661192127991,0.08282599461984992,0.22610788616735097
rts,210,20,0,0.4513369232266959,0.6925873015873016,1.0,0.6474339035769829,0.10917573872472784,0.24339035769828926
rts,210,20,0,0.5763296453813948,0.6745634920634921,1.0,0.5980392156862745,0.15348762455801992,0.24847315975570555
rts,210,20,0,0.7359377065160035,0.6696269841269842,1.0,0.5491507977354606,0.18665294218562362,0.2641962600789158
rts,210,20,0,0.9397474383147868,0.6488492063492064,1.0,0.49764274489261395,0.24305919329491882,0.2592980618124673
rts,210,20,0,1.2,0.6242301587301587,1.0,0.44208250765627816,0.30138713745271123,0.2565303548910106
