access,w_eff,n_vis,eps,T,rho,idle,coll_vis,coll_nat,solo_vis,solo_nat
rts,840,5,0.93975,0.55303,2.10003,0.25514,0.50617,0.03364,0.12807,0.07698
rts,840,5,1.2,0.43797,2.08968,0.18856,0.64062,0.02617,0.08817,0.05648
rts,840,10,0.05,0.72845,0.11965,0.6159,0.00743,0.11747,0.01208,0.24712
rts,840,10,0.06385,0.72858,0.14367,0.6151,0.00919,0.11642,0.01492,0.24437
rts,840,10,0.08153,0.73006,0.19014,0.61266,0.01085,0.11505,0.01941,0.24203
rts,840,10,0.10411,0.72975,0.23347,0.60676,0.01608,0.11336,0.02491,0.23889
rts,840,10,0.13294,0.73079,0.30849,0.5991,0.02229,0.11057,0.0339,0.23414
rts,840,10,0.16975,0.7318,0.45229,0.58705,0.03433,0.10578,0.05065,0.22219
rts,840,10,0.21677,0.73021,0.58951,0.57109,0.05222,0.09998,0.06779,0.20892
rts,840,10,0.2768,0.73104,0.76847,0.54693,0.07525,0.09184,0.09263,0.19336
rts,840,10,0.35345,0.72019,0.94879,0.5191,0.11657,0.08035,0.11593,0.16804
rts,840,10,0.45134,0.71584,1.1269,0.48387,0.15885,0.06738,0.142,0.14789
rts,840,10,0.57633,0.69633,1.27643,0.44101,0.22106,0.05688,0.15858,0.12247
rts,840,10,0.73594,0.65923,1.37453,0.37334,0.31667,0.04552,0.16193,0.10253
rts,840,10,0.93975,0.58316,1.44713,0.28787,0.45736,0.03489,0.14155,0.07833
rts,840,10,1.2,0.46877,1.46408,0.20746,0.61044,0.02504,0.10133,0.05572
rts,840,20,0.05,0.73131,0.1627,0.60926,0.01461,0.11264,0.0224,0.24109
rts,840,20,0.06385,0.72977,0.18116,0.60784,0.01814,0.11134,0.02527,0.23742
rts,840,20,0.08153,0.73087,0.23798,0.60444,0.02153,0.10932,0.03419,0.23052
rts,840,20,0.10411,0.73291,0.28729,0.59336,0.02663,0.10806,0.04299,0.22895
