method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
pnd,homo,20,20,123,1000,2.194,2.207,1.0746666666666647,13.164,0.6582000000000041,2.04,0.2546427516927514,0.0,0.0
oracle,homo,20,20,123,1000,2.211,2.207,1.081499999999998,13.266,0.6633000000000044,2.12,0.2408695831945829,0.0,0.0
dcf_self_excl,homo,20,20,456,1000,1.83,2.211,0.8958333333333315,10.98,0.5490000000000078,4.066,0.16222021312021317,0.0,0.0
ema_ad_low,homo,20,20,456,1000,2.208,2.211,1.0836666666666643,13.248,0.6624000000000047,2.326,0.21737551337551303,0.009804163268170022,4.846934543234552
consec_L2,homo,20,20,456,1000,2.088,2.211,1.0234999999999974,12.528,0.6264000000000048,3.107,0.16956146353646318,0.019334812263028498,3.355883757908756
and,homo,20,20,456,1000,0.229,2.211,0.11233333333333326,1.374,0.06869999999999972,0.033,0.9769729326229294,0.0,0.0
pnd,homo,20,20,456,1000,2.182,2.211,1.0658333333333316,13.092,0.6546000000000052,2.128,0.25054472194472144,0.0,0.0
oracle,homo,20,20,456,1000,2.248,2.211,1.0983333333333318,13.488,0.6744000000000047,1.975,0.2413103729603726,0.0,0.0
dcf_self_excl,homo,20,20,789,1000,1.832,2.198,0.9004999999999984,10.992,0.5496000000000079,4.008,0.15848141025641027,0.0,0.0
ema_ad_low,homo,20,20,789,1000,2.208,2.198,1.0881666666666647,13.248,0.6624000000000045,2.296,0.21760035520035503,0.009793836226843053,4.7566217754467806
consec_L2,homo,20,20,789,1000,2.126,2.198,1.0416666666666643,12.756,0.6378000000000045,2.966,0.16472144522144488,0.019069989813354355,3.2581528055278075
and,homo,20,20,789,1000,0.221,2.198,0.10749999999999986,1.326,0.06629999999999975,0.025,0.9778256687756657,0.0,0.0
pnd,homo,20,20,789,1000,2.185,2.198,1.0728333333333315,13.11,0.6555000000000043,2.096,0.25741927239427226,0.0,0.0
oracle,homo,20,20,789,1000,2.208,2.198,1.0779999999999978,13.248,0.6624000000000045,2.037,0.24501843434343382,0.0,0.0
dcf_self_excl,homo,20,20,1234,1000,1.828,2.185,0.8978333333333319,10.968,0.5484000000000081,4.031,0.16391013153513156,0.0,0.0
ema_ad_low,homo,20,20,1234,1000,2.197,2.185,1.0776666666666646,13.182,0.6591000000000043,2.313,0.21842554112554063,0.009763744626676986,4.906519336219348
consec_L2,homo,20,20,1234,1000,2.111,2.185,1.0374999999999979,12.666,0.6333000000000051,3.085,0.16434304029304014,0.01911633174305547,3.3886798201798163
and,homo,20,20,1234,1000,0.226,2.185,0.10716666666666659,1.356,0.06779999999999972,0.031,0.977322244422241,0.0,0.0
pnd,homo,20,20,1234,1000,2.188,2.185,1.0744999999999982,13.128,0.6564000000000046,2.059,0.2510188339438334,0.0,0.0
oracle,homo,20,20,1234,1000,2.221,2.185,1.0904999999999985,13.326,0.6663000000000036,2.08,0.24161782106782032,0.0,0.0
dcf_self_excl,homo,20,50,42,1000,5.059,6.128,0.8390964285714292,30.354,0.6070800000000119,12.257,0.1783359729203179,0.0,0.0
ema_ad_low,homo,20,50,42,1000,6.036,6.128,1.0014321428571433,36.216,0.7243200000000118,7.421,0.18182731200539698,0.01703103376032334,4.279156595482805
consec_L2,homo,20,50,42,1000,5.705,6.128,0.9460869047619053,34.23,0.6846000000000121,9.981,0.13335205688391844,0.02776891114111296,4.694714006192528
and,homo,20,50,42,1000,2.932,6.128,0.48644166666666744,17.592,0.35184000000000576,0.991,0.8743172994871663,0.0,0.0
pnd,homo,20,50,42,1000,6.088,6.128,1.0087035714285713,36.528,0.7305600000000119,5.755,0.26948977359617443,0.0,0.0
oracle,homo,20,50,42,1000,6.122,6.128,1.015879761904763,36.732,0.7346400000000117,5.842,0.25530979307294066,0.0,0.0
dcf_self_excl,homo,20,50,123,1000,5.051,6.13,0.8384607142857134,30.306,0.606120000000012,12.204,0.17788353697901338,0.0,0.0
ema_ad_low,homo,20,50,123,1000,6.02,6.13,0.9983452380952389,36.12,0.7224000000000118,7.475,0.1815340974185421,0.01677990013612117,4.407761291847682
consec_L2,homo,20,50,123,1000,5.708,6.13,0.9479535714285716,34.248,0.6849600000000121,9.993,0.13311357341910687,0.02787588843076317,4.745593980184187
and,homo,20,50,123,1000,2.963,6.13,0.49021190476190535,17.778,0.3555600000000058,1.05,0.8706876597960508,0.0,0.0
pnd,homo,20,50,123,1000,6.079,6.13,1.0094869047619062,36.474,0.7294800000000113,5.702,0.26957315261722026,0.0,0.0
oracle,homo,20,50,123,1000,6.15,6.13,1.020746428571429,36.9,0.7380000000000112,5.788,0.2532782093711444,0.0,0.0
dcf_self_excl,homo,20,50,456,1000,5.063,6.147,0.8379321428571416,30.378,0.6075600000000119,12.209,0.17835950990891983,0.0,0.0
ema_ad_low,homo,20,50,456,1000,6.011,6.147,0.995036904761904,36.066,0.7213200000000116,7.436,0.18673604184858827,0.01693251601589775,4.279481870468824
consec_L2,homo,20,50,456,1000,5.677,6.147,0.9394833333333333,34.062,0.6812400000000117,10.102,0.13674309019086567,0.02795507513805435,4.744828303419375
and,homo,20,50,456,1000,2.92,6.147,0.4841428571428578,17.52,0.3504000000000059,1.029,0.8732691289048536,0.0,0.0
pnd,homo,20,50,456,1000,6.043,6.147,1.0012273809523808,36.258,0.7251600000000127,5.855,0.2723338715220743,0.0,0.0
oracle,homo,20,50,456,1000,6.167,6.147,1.0206785714285709,37.002,0.7400400000000117,5.654,0.252159782227689,0.0,0.0
dcf_self_excl,homo,20,50,789,1000,5.074,6.127,0.8415238095238085,30.444,0.6088800000000121,12.225,0.17491304805633015,0.0,0.0
