access,w_eff,n_vis,alpha,tau_J,r_J,r_oracle,eps_i_rule,eps_i_oracle,J_oracle,G_rule,G_ratio,G_ship,T_rule,rho_rule,T_ship,rho_ship,row_span
rts,105,50,1.0,0.017354,0.6218,0.033,0.9047,1.0,-0.60514,0.964,0.964,0.8103,0.6359,0.64733,0.67095,0.52451,0.90011
rts,210,5,0.25,0.040217,3.4014,0.3529,0.6397,0.6971,-0.36661,0.9021,0.8279,0.5282,0.7033,0.50348,0.71202,0.19569,0.21219
rts,210,5,0.5,0.041071,3.3618,1.8322,0.6397,1.0,-0.36743,0.8025,0.9642,0.2718,0.7033,0.50348,0.71202,0.19569,0.08537
rts,210,5,1.0,0.041538,3.3405,1.8322,0.6397,1.0,-0.36743,0.6342,0.926,0.0719,0.7033,0.50348,0.71202,0.19569,0.1721
rts,210,10,0.25,0.034379,2.1366,0.3529,0.6397,0.6971,-0.36939,0.968,0.8881,0.6563,0.70619,0.62814,0.70979,0.26232,0.19977
rts,210,10,0.5,0.03723,1.9863,0.3529,0.6397,0.6971,-0.37853,0.9255,0.9255,0.4233,0.70619,0.62814,0.70979,0.26232,0.41642
rts,210,10,1.0,0.039241,1.8886,0.6714,0.6397,1.0,-0.39196,0.8419,0.9603,0.1752,0.70619,0.62814,0.70979,0.26232,0.18861
rts,210,20,0.25,0.023967,1.4504,0.0287,0.6397,0.6971,-0.39571,0.9487,0.9487,0.8028,0.70142,0.54211,0.70924,0.35249,0.21799
rts,210,20,0.5,0.027914,1.2094,0.0287,0.6397,0.6971,-0.40625,0.9566,0.9566,0.6182,0.69712,0.65458,0.70924,0.35249,0.4743
rts,210,20,1.0,0.031706,1.0251,0.0287,0.6397,0.6971,-0.42733,0.8931,0.8931,0.3666,0.69712,0.65458,0.70924,0.35249,0.9869
rts,210,50,0.25,0.01177,1.0931,0.068,0.6397,0.486,-0.39536,0.9823,0.961,0.9384,0.68579,0.68423,0.7105,0.50425,0.34032
rts,210,50,0.5,0.014389,0.829,0.068,0.6397,0.486,-0.41941,0.9707,0.9772,0.8549,0.68579,0.68423,0.7105,0.50425,0.70426
rts,210,50,1.0,0.017354,0.6218,0.2137,0.6397,0.6971,-0.46179,0.9834,0.9834,0.7055,0.67993,0.7374,0.7105,0.50425,1.02538
rts,420,5,0.25,0.040217,3.4014,1.3816,0.4523,0.486,-0.33827,0.7359,0.7359,0.5202,0.71748,0.32664,0.71639,0.19737,0.55252
rts,420,5,0.5,0.041071,3.3618,0.8364,0.4523,0.486,-0.34631,0.5424,0.5424,0.2715,0.71748,0.32664,0.71639,0.19737,1.10362
rts,420,5,1.0,0.041538,3.3405,0.8364,0.4523,0.486,-0.34632,0.2901,0.2901,0.0728,0.71748,0.32664,0.71639,0.19737,2.22193
rts,420,10,0.25,0.034379,2.1366,0.5063,0.4523,0.486,-0.3414,0.915,0.915,0.6934,0.71842,0.53204,0.72237,0.29035,0.5621
rts,420,10,0.5,0.03723,1.9863,0.5063,0.4523,0.486,-0.34349,0.83,0.83,0.4741,0.71842,0.53204,0.72237,0.29035,1.13478
rts,420,10,1.0,0.039241,1.8886,0.5063,0.4523,0.486,-0.34767,0.8928,0.683,0.2216,0.71702,0.69881,0.72237,0.29035,2.28013
rts,420,20,0.25,0.023967,1.4504,0.5063,0.4523,0.486,-0.34967,0.9765,0.9765,0.7466,0.71885,0.65935,0.71971,0.3266,0.59045
rts,420,20,0.5,0.027914,1.2094,0.5063,0.4523,0.486,-0.35974,0.9445,0.9445,0.5514,0.71885,0.65935,0.71971,0.3266,1.18685
rts,420,20,1.0,0.031706,1.0251,0.583,0.4523,0.6971,-0.36761,0.9488,0.9927,0.2972,0.71062,0.75558,0.71971,0.3266,1.03793
rts,420,50,0.25,0.01177,1.0931,0.2661,0.4523,0.3388,-0.35921,0.9996,0.9667,0.9101,0.71304,0.74654,0.72481,0.48404,0.68102
rts,420,50,0.5,0.014389,0.829,0.5063,0.4523,0.486,-0.37802,0.9971,0.9971,0.813,0.71304,0.74654,0.72481,0.48404,1.07572
rts,420,50,1.0,0.017354,0.6218,0.583,0.4523,0.6971,-0.39844,0.9965,1.0,0.6377,0.70183,0.8034,0.72481,0.48404,1.13111
rts,840,5,0.25,0.040217,3.4014,0.3818,0.3198,0.2361,-0.31227,0.7819,0.6055,0.8263,0.73011,0.37256,0.73123,0.41819,3.0687
rts,840,5,0.5,0.041071,3.3618,0.2311,0.3198,0.2361,-0.31237,0.6129,0.3682,0.6834,0.73011,0.37256,0.73123,0.41819,6.13153
rts,840,5,1.0,0.041538,3.3405,0.2311,0.3198,0.2361,-0.31238,0.3764,0.1362,0.4673,0.73011,0.37256,0.73123,0.41819,12.25738
rts,840,10,0.25,0.034379,2.1366,1.1998,0.3198,0.3388,-0.32391,0.9621,0.9621,0.8619,0.7291,0.64945,0.73144,0.44963,1.7699
rts,840,10,0.5,0.03723,1.9863,0.7263,0.3198,0.3388,-0.32619,0.9204,0.9204,0.7364,0.7291,0.64945,0.73144,0.44963,3.54509
rts,840,10,1.0,0.039241,1.8886,0.7263,0.3198,0.3388,-0.32619,0.8386,0.8386,0.535,0.7291,0.64945,0.73144,0.44963,7.10001
rts,840,20,0.25,0.023967,1.4504,1.3816,0.3198,0.486,-0.33286,0.9909,1.0,0.879,0.72572,0.74604,0.73198,0.46103,0.7774
rts,840,20,0.5,0.027914,1.2094,1.3816,0.3198,0.486,-0.3401,0.9769,1.0,0.7621,0.72572,0.74604,0.73198,0.46103,1.5505
rts,840,20,1.0,0.031706,1.0251,0.8364,0.3198,0.486,-0.34127,0.9369,1.0,0.5654,0.72572,0.74604,0.73198,0.46103,3.11
rts,840,50,0.25,0.01177,1.0931,0.7263,0.3198,0.3388,-0.34687,0.9908,0.9908,0.947,0.72323,0.69882,0.73239,0.549,1.01583
rts,840,50,0.5,0.014389,0.829,0.8364,0.3198,0.486,-0.35596,0.9946,1.0,0.8735,0.71724,0.7858,0.73239,0.549,1.23076
rts,840,50,1.0,0.017354,0.6218,0.9631,0.3198,0.6971,-0.36751,0.9773,0.9868,0.7382,0.71724,0.7858,0.73239,0.549,1.05953
rts,1680,5,0.25,0.040217,3.4014,1.4946,0.2262,0.1646,-0.29881,0.9873,0.4304,0.9986,0.74123,0.80252,0.74304,1.12006,4.28506
rts,1680,5,0.5,0.041071,3.3618,1.4946,0.2262,0.1646,-0.29945,0.9761,0.1862,0.996,0.74123,0.80252,0.74304,1.12006,8.56449
rts,1680,5,1.0,0.041538,3.3405,1.4946,0.2262,0.1646,-0.30073,0.954,0.0348,0.9909,0.74123,0.80252,0.74304,1.12006,17.12336
rts,1680,10,0.25,0.034379,2.1366,1.7211,0.2262,0.2361,-0.30363,1.0,1.0,0.9996,0.7386,0.95104,0.74089,0.88013,2.71321
rts,1680,10,0.5,0.03723,1.9863,1.7211,0.2262,0.2361,-0.30426,1.0,1.0,0.9962,0.7386,0.95104,0.74089,0.88013,5.42586
rts,1680,10,1.0,0.039241,1.8886,1.7211,0.2262,0.2361,-0.30552,1.0,1.0,0.9894,0.7386,0.95104,0.74089,0.88013,10.85116
rts,1680,20,0.25,0.023967,1.4504,1.0419,0.2262,0.2361,-0.3158,0.9942,0.9942,0.9944,0.73988,0.75191,0.73814,0.76558,2.18012
rts,1680,20,0.5,0.027914,1.2094,1.1998,0.2262,0.3388,-0.31616,0.9966,1.0,0.9771,0.73198,0.88406,0.73814,0.76558,2.30585
rts,1680,20,1.0,0.031706,1.0251,1.1998,0.2262,0.3388,-0.31622,0.9891,1.0,0.9429,0.73198,0.88406,0.73814,0.76558,4.62008
rts,1680,50,0.25,0.01177,1.0931,1.1998,0.2262,0.3388,-0.32443,0.9971,1.0,0.9892,0.73097,0.78988,0.73726,0.70524,0.89252
rts,1680,50,0.5,0.014389,0.829,1.1998,0.2262,0.3388,-0.33204,0.9942,0.9933,0.9668,0.72196,0.85612,0.73726,0.70524,1.79449
rts,1680,50,1.0,0.017354,0.6218,0.7263,0.2262,0.3388,-0.34351,0.9936,1.0,0.9201,0.72196,0.85612,0.73726,0.70524,3.60218
