n_vis,n_nat,w_eff,access,eps_idle,eps_coll,c_idle,c_coll,T,rho,J_a0.0,J_a0.05,J_a0.1,J_a0.2,J_a0.5
5,0,105,rts,0.129188,0.05,1.1379040300155947,1.0512710963760241,0.5624007936507937,1.0,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559
5,0,105,rts,0.129188,0.08037,1.1379040300155947,1.0836879580501442,0.5624007936507937,1.0,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559,-0.5755405273010559
5,0,105,rts,0.129188,0.129188,1.1379040300155947,1.1379040300155947,0.5608928571428572,1.0,-0.578225377184594,-0.578225377184594,-0.578225377184594,-0.578225377184594,-0.578225377184594
5,0,105,rts,0.129188,0.207658,1.1379040300155947,1.2307921666404829,0.5606150793650794,1.0,-0.5787207419955163,-0.5787207419955163,-0.5787207419955163,-0.5787207419955163,-0.5787207419955163
5,0,105,rts,0.129188,0.333792,1.1379040300155947,1.3962526928085686,0.5600396825396825,1.0,-0.5797476360855077,-0.5797476360855077,-0.5797476360855077,-0.5797476360855077,-0.5797476360855077
5,0,105,rts,0.129188,0.53654,1.1379040300155947,1.710079738279151,0.5574206349206349,1.0,-0.5844351446686049,-0.5844351446686049,-0.5844351446686049,-0.5844351446686049,-0.5844351446686049
5,0,105,rts,0.129188,0.86244,1.1379040300155947,2.3689338461802025,0.5560912698412699,1.0,-0.5868228438126392,-0.5868228438126392,-0.5868228438126392,-0.5868228438126392,-0.5868228438126392
5,0,105,rts,0.129188,1.386294,1.1379040300155947,3.999998555520698,0.5550396825396825,1.0,-0.5887156677202108,-0.5887156677202108,-0.5887156677202108,-0.5887156677202108,-0.5887156677202108
5,0,105,rts,0.207658,0.05,1.2307921666404829,1.0512710963760241,0.5931547619047619,1.0,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552
5,0,105,rts,0.207658,0.08037,1.2307921666404829,1.0836879580501442,0.5931547619047619,1.0,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552,-0.5222999327444552
5,0,105,rts,0.207658,0.129188,1.2307921666404829,1.1379040300155947,0.5930555555555556,1.0,-0.5224671987814764,-0.5224671987814764,-0.5224671987814764,-0.5224671987814764,-0.5224671987814764
5,0,105,rts,0.207658,0.207658,1.2307921666404829,1.2307921666404829,0.5934325396825397,1.0,-0.5218317366286187,-0.5218317366286187,-0.5218317366286187,-0.5218317366286187,-0.5218317366286187
5,0,105,rts,0.207658,0.333792,1.2307921666404829,1.3962526928085686,0.594186507936508,1.0,-0.5205620224778161,-0.5205620224778161,-0.5205620224778161,-0.5205620224778161,-0.5205620224778161
5,0,105,rts,0.207658,0.53654,1.2307921666404829,1.710079738279151,0.5957142857142858,1.0,-0.5179941132446032,-0.5179941132446032,-0.5179941132446032,-0.5179941132446032,-0.5179941132446032
5,0,105,rts,0.207658,0.86244,1.2307921666404829,2.3689338461802025,0.5924206349206349,1.0,-0.5235383644459246,-0.5235383644459246,-0.5235383644459246,-0.5235383644459246,-0.5235383644459246
5,0,105,rts,0.207658,1.386294,1.2307921666404829,3.999998555520698,0.5861904761904762,1.0,-0.534110497527061,-0.534110497527061,-0.534110497527061,-0.534110497527061,-0.534110497527061
5,0,105,rts,0.333792,0.05,1.3962526928085686,1.0512710963760241,0.5975396825396826,1.0,-0.514934583089447,-0.514934583089447,-0.514934583089447,-0.514934583089447,-0.514934583089447
5,0,105,rts,0.333792,0.08037,1.3962526928085686,1.0836879580501442,0.59625,1.0,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861
5,0,105,rts,0.333792,0.129188,1.3962526928085686,1.1379040300155947,0.59625,1.0,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861,-0.5170952367795861
5,0,105,rts,0.333792,0.207658,1.3962526928085686,1.2307921666404829,0.5937698412698412,1.0,-0.5212635073160954,-0.5212635073160954,-0.5212635073160954,-0.5212635073160954,-0.5212635073160954
5,0,105,rts,0.333792,0.333792,1.3962526928085686,1.3962526928085686,0.5947023809523809,1.0,-0.5196941986583318,-0.5196941986583318,-0.5196941986583318,-0.5196941986583318,-0.5196941986583318
5,0,105,rts,0.333792,0.53654,1.3962526928085686,1.710079738279151,0.6073611111111111,1.0,-0.4986317535912261,-0.4986317535912261,-0.4986317535912261,-0.4986317535912261,-0.4986317535912261
5,0,105,rts,0.333792,0.86244,1.3962526928085686,2.3689338461802025,0.6032738095238095,1.0,-0.5053841065052499,-0.5053841065052499,-0.5053841065052499,-0.5053841065052499,-0.5053841065052499
5,0,105,rts,0.333792,1.386294,1.3962526928085686,3.999998555520698,0.5999404761904762,1.0,-0.5109248350364723,-0.5109248350364723,-0.5109248350364723,-0.5109248350364723,-0.5109248350364723
5,0,105,rts,0.53654,0.05,1.710079738279151,1.0512710963760241,0.6085515873015873,1.0,-0.4966735923310852,-0.4966735923310852,-0.4966735923310852,-0.4966735923310852,-0.4966735923310852
5,0,105,rts,0.53654,0.08037,1.710079738279151,1.0836879580501442,0.6070833333333333,1.0,-0.4990892101408322,-0.4990892101408322,-0.4990892101408322,-0.4990892101408322,-0.4990892101408322
5,0,105,rts,0.53654,0.129188,1.710079738279151,1.1379040300155947,0.6027976190476191,1.0,-0.5061737620590653,-0.5061737620590653,-0.5061737620590653,-0.5061737620590653,-0.5061737620590653
5,0,105,rts,0.53654,0.207658,1.710079738279151,1.2307921666404829,0.6063888888888889,1.0,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576
5,0,105,rts,0.53654,0.333792,1.710079738279151,1.3962526928085686,0.6041269841269842,1.0,-0.5039708645235291,-0.5039708645235291,-0.5039708645235291,-0.5039708645235291,-0.5039708645235291
5,0,105,rts,0.53654,0.53654,1.710079738279151,1.710079738279151,0.604265873015873,1.0,-0.503740990788875,-0.503740990788875,-0.503740990788875,-0.503740990788875,-0.503740990788875
5,0,105,rts,0.53654,0.86244,1.710079738279151,2.3689338461802025,0.6010119047619048,1.0,-0.5091405363870292,-0.5091405363870292,-0.5091405363870292,-0.5091405363870292,-0.5091405363870292
5,0,105,rts,0.53654,1.386294,1.710079738279151,3.999998555520698,0.5899801587301587,1.0,-0.5276663719187659,-0.5276663719187659,-0.5276663719187659,-0.5276663719187659,-0.5276663719187659
5,0,105,rts,0.86244,0.05,2.3689338461802025,1.0512710963760241,0.5789087301587301,1.0,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428
5,0,105,rts,0.86244,0.08037,2.3689338461802025,1.0836879580501442,0.5827380952380953,1.0,-0.5400174298667941,-0.5400174298667941,-0.5400174298667941,-0.5400174298667941,-0.5400174298667941
5,0,105,rts,0.86244,0.129188,2.3689338461802025,1.1379040300155947,0.592936507936508,1.0,-0.5226679549637681,-0.5226679549637681,-0.5226679549637681,-0.5226679549637681,-0.5226679549637681
5,0,105,rts,0.86244,0.207658,2.3689338461802025,1.2307921666404829,0.5789087301587301,1.0,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428,-0.5466104474119428
5,0,105,rts,0.86244,0.333792,2.3689338461802025,1.3962526928085686,0.5890079365079365,1.0,-0.5293156208747498,-0.5293156208747498,-0.5293156208747498,-0.5293156208747498,-0.5293156208747498
5,0,105,rts,0.86244,0.53654,2.3689338461802025,1.710079738279151,0.5922420634920635,1.0,-0.5238398366373983,-0.5238398366373983,-0.5238398366373983,-0.5238398366373983,-0.5238398366373983
