topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,9,50,mfg_carrier_sense,789,,8.88,0.35440090293338705,0.0,8.0,1
complete,9,50,oracle_topology,789,2,8.4875,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,789,16,8.915,0.3711805490593493,0.0,8.0,1
complete,9,100,dcf_topology,789,18,8.94,0.2764054992217051,0.0,8.0,1
complete,9,100,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,789,2,8.975,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,789,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,789,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,789,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,789,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,789,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,789,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,789,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,789,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,789,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,1234,16,5.0,1.4628738838327795,0.0,8.0,1
complete,9,20,dcf_topology,1234,18,4.85,1.3883443376914824,0.0,8.0,1
complete,9,20,mfg_full_N,1234,,7.74,1.7811232411037705,0.0,8.0,1
complete,9,20,mfg_perfect_local,1234,,7.74,1.7811232411037705,0.0,8.0,1
complete,9,20,mfg_carrier_sense,1234,,6.605,1.5488624858262916,0.0,8.0,1
complete,9,20,oracle_topology,1234,18,5.0625,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,1234,16,8.185,0.9903408504146438,0.0,8.0,1
complete,9,50,dcf_topology,1234,18,8.025,0.9871043511199816,0.0,8.0,1
complete,9,50,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,1234,,8.9,0.3,0.0,8.0,1
complete,9,50,oracle_topology,1234,7,8.475,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,1234,16,8.98,0.13999999999999999,0.0,8.0,1
complete,9,100,dcf_topology,1234,18,8.92,0.30594117081556704,0.0,8.0,1
complete,9,100,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,1234,2,8.9875,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,1234,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,1234,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,1234,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,1234,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,1234,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,1234,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,1234,2,9.0,0.0,0.0,8.0,1
complete,16,20,dcf_ieee,42,16,4.635,1.460059930276836,0.0,15.0,1
complete,16,20,dcf_topology,42,32,4.705,1.413497435441607,0.0,15.0,1
complete,16,20,mfg_full_N,42,,7.565,2.1784799746612316,0.0,15.0,1
complete,16,20,mfg_perfect_local,42,,7.565,2.1784799746612316,0.0,15.0,1
complete,16,20,mfg_carrier_sense,42,,7.045,1.9295012308884387,0.0,15.0,1
complete,16,20,oracle_topology,42,20,5.0375,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,42,16,10.81,1.8010830075263051,0.0,15.0,1
complete,16,50,dcf_topology,42,32,10.985,2.021082630670998,0.0,15.0,1
complete,16,50,mfg_full_N,42,,15.825,0.7512489600658361,0.0,15.0,1
complete,16,50,mfg_perfect_local,42,,15.825,0.7512489600658361,0.0,15.0,1
complete,16,50,mfg_carrier_sense,42,,13.86,1.4732277488562315,0.0,15.0,1
complete,16,50,oracle_topology,42,32,11.325,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,42,16,15.175,1.1377060252982756,0.0,15.0,1
complete,16,100,dcf_topology,42,32,14.965,1.055355390378047,0.0,15.0,1
complete,16,100,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
