method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
cold_genie,0.0,10,0,50,42,11,0.8904109589041096,0.4600000000000001,0.0,0.25062590187590195,0.10000000000000002
cold_genie,0.0,10,0,50,42,12,1.1095890410958904,0.521,0.0,0.2458824508824508,0.10000000000000002
cold_genie,0.0,10,0,50,42,13,0.8765432098765432,0.5130000000000001,0.0,0.2073719336219336,0.10000000000000002
cold_genie,0.0,10,0,50,42,14,1.0434782608695652,0.5170000000000001,0.0,0.23090187590187589,0.10000000000000002
cold_genie,0.0,10,0,50,42,15,0.8108108108108109,0.4120000000000001,0.0,0.32650113775113776,0.10000000000000002
cold_genie,0.0,10,0,50,42,16,1.051948051948052,0.5359999999999999,0.0,0.22217352092352088,0.10000000000000002
cold_genie,0.0,10,0,50,42,17,0.6341463414634146,0.364,0.0,0.26502511377511373,0.10000000000000002
cold_genie,0.0,10,0,50,42,18,0.9577464788732394,0.462,0.0,0.2438797313797314,0.10000000000000002
cold_genie,0.0,10,0,50,42,19,0.8493150684931506,0.44400000000000006,0.0,0.2626544289044289,0.10000000000000002
cold_genie,0.0,10,0,50,42,20,0.8441558441558441,0.45299999999999996,0.0,0.2608297258297258,0.10000000000000002
cold_genie,0.0,10,0,50,42,21,1.0461538461538462,0.522,0.0,0.20494588744588743,0.10000000000000002
cold_genie,0.0,10,0,50,42,22,0.88,0.453,0.0,0.25646825396825396,0.10000000000000002
cold_genie,0.0,10,0,50,42,23,0.8875,0.5309999999999999,0.0,0.2274120324120324,0.10000000000000002
cold_genie,0.0,10,0,50,42,24,0.863013698630137,0.433,0.0,0.2423430735930736,0.10000000000000002
cold_genie,0.0,10,0,50,42,25,1.1470588235294117,0.5469999999999999,0.0,0.17860070485070487,0.10000000000000002
cold_genie,0.0,10,0,50,42,26,0.9130434782608695,0.454,0.0,0.2688041125541126,0.10000000000000002
cold_genie,0.0,10,0,50,42,27,0.9466666666666667,0.527,0.0,0.2175126262626263,0.10000000000000002
cold_genie,0.0,10,0,50,42,28,0.8850574712643678,0.514,0.0,0.24601911976911978,0.10000000000000002
cold_genie,0.0,10,0,50,42,29,0.9146341463414634,0.555,0.0,0.20798257298257297,0.10000000000000002
cold_genie,0.0,10,0,50,42,30,0.8,0.4959999999999999,0.0,0.2497863247863248,0.10000000000000002
cold_genie,0.0,10,0,50,42,31,0.9210526315789473,0.5149999999999999,0.0,0.23381132756132753,0.10000000000000002
cold_genie,0.0,10,0,50,42,32,0.8941176470588236,0.5280000000000001,0.0,0.21958513708513702,0.10000000000000002
cold_genie,0.0,10,0,50,42,33,0.9577464788732394,0.48699999999999993,0.0,0.2387823287823288,0.10000000000000002
cold_genie,0.0,10,0,50,42,34,1.0,0.5299999999999999,0.0,0.19730339105339106,0.10000000000000002
cold_genie,0.0,10,0,50,42,35,1.088235294117647,0.5199999999999999,0.0,0.21660353535353533,0.10000000000000002
cold_genie,0.0,10,0,50,42,36,0.863013698630137,0.417,0.0,0.26316239316239315,0.10000000000000002
cold_genie,0.0,10,0,50,42,37,0.8571428571428571,0.492,0.0,0.22163419913419916,0.10000000000000002
cold_genie,0.0,10,0,50,42,38,0.9859154929577465,0.49400000000000005,0.0,0.24769660894660891,0.10000000000000002
cold_genie,0.0,10,0,50,42,39,1.1639344262295082,0.507,0.0,0.255523088023088,0.10000000000000002
cold_genie,0.0,10,0,50,42,40,1.2058823529411764,0.538,0.0,0.20993867243867242,0.10000000000000002
cold_genie,0.0,10,0,50,42,41,0.9178082191780822,0.45999999999999996,0.0,0.259427516927517,0.10000000000000002
cold_genie,0.0,10,0,50,42,42,0.9736842105263158,0.49799999999999994,0.0,0.24624209124209123,0.10000000000000002
cold_genie,0.0,10,0,50,42,43,0.9726027397260274,0.5,0.0,0.23720529470529464,0.10000000000000002
cold_genie,0.0,10,0,50,42,44,0.9240506329113924,0.5149999999999999,0.0,0.2546217671217671,0.10000000000000002
cold_genie,0.0,10,0,50,42,45,0.9012345679012346,0.579,0.0,0.21551157176157174,0.10000000000000002
cold_genie,0.0,10,0,50,42,46,0.9,0.485,0.0,0.2636093073593073,0.10000000000000002
cold_genie,0.0,10,0,50,42,47,0.9487179487179487,0.5090000000000001,0.0,0.22665445665445666,0.10000000000000002
cold_genie,0.0,10,0,50,42,48,1.078125,0.4499999999999999,0.0,0.25163503163503165,0.10000000000000002
cold_genie,0.0,10,0,50,42,49,1.056338028169014,0.535,0.0,0.21430361305361303,0.10000000000000002
cold_nv,0.0,10,0,50,42,0,1.203125,0.548,0.0,0.20851731601731602,0.10000000000000002
cold_nv,0.0,10,0,50,42,1,0.896551724137931,0.5289999999999999,0.0,0.216745337995338,0.10000000000000002
cold_nv,0.0,10,0,50,42,2,0.9861111111111112,0.4749999999999999,0.0,0.22635212010212008,0.10000000000000002
cold_nv,0.0,10,0,50,42,3,0.8333333333333334,0.44699999999999995,0.0,0.2671066433566434,0.10000000000000002
cold_nv,0.0,10,0,50,42,4,1.1785714285714286,0.513,0.0,0.2561598124098124,0.10000000000000002
cold_nv,0.0,10,0,50,42,5,0.6582278481012658,0.357,0.0,0.30336802086802084,0.10000000000000002
cold_nv,0.0,10,0,50,42,6,1.0985915492957747,0.5370000000000001,0.0,0.2178481240981241,0.10000000000000002
cold_nv,0.0,10,0,50,42,7,0.8356164383561644,0.4640000000000001,0.0,0.23215895215895213,0.10000000000000002
cold_nv,0.0,10,0,50,42,8,0.8484848484848485,0.45100000000000007,0.0,0.2804982517482517,0.10000000000000002
cold_nv,0.0,10,0,50,42,9,0.9342105263157895,0.4669999999999999,0.0,0.24666416916416917,0.10000000000000002
cold_nv,0.0,10,0,50,42,10,1.078125,0.503,0.0,0.24393398268398267,0.10000000000000002
cold_nv,0.0,10,0,50,42,11,0.8767123287671232,0.4720000000000001,0.0,0.2350108225108225,0.10000000000000002
cold_nv,0.0,10,0,50,42,12,0.9178082191780822,0.45999999999999996,0.0,0.2816237928737929,0.10000000000000002
cold_nv,0.0,10,0,50,42,13,0.8518518518518519,0.51,0.0,0.22125,0.10000000000000002
cold_nv,0.0,10,0,50,42,14,0.8985507246376812,0.45099999999999996,0.0,0.2402156177156177,0.10000000000000002
cold_nv,0.0,10,0,50,42,15,0.9594594594594594,0.52,0.0,0.2336464923964924,0.10000000000000002
cold_nv,0.0,10,0,50,42,16,0.8961038961038961,0.495,0.0,0.2366876179376179,0.10000000000000002
cold_nv,0.0,10,0,50,42,17,0.7926829268292683,0.42700000000000005,0.0,0.2461091686091686,0.10000000000000002
cold_nv,0.0,10,0,50,42,18,0.9295774647887324,0.5009999999999999,0.0,0.25827436452436453,0.10000000000000002
cold_nv,0.0,10,0,50,42,19,0.8767123287671232,0.489,0.0,0.20988497613497614,0.10000000000000002
cold_nv,0.0,10,0,50,42,20,0.922077922077922,0.5069999999999999,0.0,0.20844072594072593,0.10000000000000002
cold_nv,0.0,10,0,50,42,21,1.0307692307692307,0.45599999999999996,0.0,0.24438672438672443,0.10000000000000002
cold_nv,0.0,10,0,50,42,22,0.9733333333333334,0.5090000000000001,0.0,0.236011211011211,0.10000000000000002
cold_nv,0.0,10,0,50,42,23,0.9125,0.48900000000000005,0.0,0.21083874458874458,0.10000000000000002
cold_nv,0.0,10,0,50,42,24,0.9178082191780822,0.45400000000000007,0.0,0.25666666666666665,0.10000000000000002
cold_nv,0.0,10,0,50,42,25,1.0294117647058822,0.5130000000000001,0.0,0.23286616161616164,0.10000000000000002
cold_nv,0.0,10,0,50,42,26,1.1014492753623188,0.547,0.0,0.20354908979908978,0.10000000000000002
cold_nv,0.0,10,0,50,42,27,0.9066666666666666,0.48500000000000015,0.0,0.2311363636363636,0.10000000000000002
