eps_idle,eps_coll,c_idle,c_coll,T,rho
0.15874,0.125992,1.1720331784361693,1.1342730940619756,0.7227678571428572,0.2648273968842221
0.2,0.125992,1.2214027581601699,1.1342730940619756,0.715639880952381,0.3601228227041789
0.251984,0.125992,1.2865754519129273,1.1342730940619756,0.7139682539682539,0.45966262783459316
0.31748,0.125992,1.3736617713551895,1.1342730940619756,0.7197023809523809,0.6152096600777438
0.4,0.125992,1.4918246976412703,1.1342730940619756,0.7173859126984127,0.7855626620570441
0.503968,0.125992,1.6552763934649535,1.1342730940619756,0.7042906746031746,0.9802443920132409
0.63496,0.125992,1.886946662082677,1.1342730940619756,0.6897519841269841,1.1617501114674875
0.8,0.125992,2.225540928492468,1.1342730940619756,0.652609126984127,1.306842193271818
0.05,0.15874,1.0512710963760241,1.1720331784361693,0.7172718253968254,0.12031645482081853
0.062996,0.15874,1.0650225791324688,1.1720331784361693,0.7161160714285715,0.12008118086292764
0.07937,0.15874,1.0826048117555036,1.1720331784361693,0.7179811507936508,0.14915886559121214
0.1,0.15874,1.1051709180756477,1.1720331784361693,0.7218055555555556,0.1727782511888727
0.125992,0.15874,1.1342730940619756,1.1720331784361693,0.7208978174603174,0.21350966401299085
0.15874,0.15874,1.1720331784361693,1.1720331784361693,0.719295634920635,0.24023170815805805
0.2,0.15874,1.2214027581601699,1.1720331784361693,0.7220039682539683,0.31697765808348677
0.251984,0.15874,1.2865754519129273,1.1720331784361693,0.721453373015873,0.41930626697377016
0.31748,0.15874,1.3736617713551895,1.1720331784361693,0.7206944444444444,0.5748148556011343
0.4,0.15874,1.4918246976412703,1.1720331784361693,0.7162896825396825,0.7951580288634664
0.503968,0.15874,1.6552763934649535,1.1720331784361693,0.7065029761904762,0.991792517078445
0.63496,0.15874,1.886946662082677,1.1720331784361693,0.6901686507936508,1.1527691931751212
0.8,0.15874,2.225540928492468,1.1720331784361693,0.6613293650793651,1.2598331883231826
0.05,0.2,1.0512710963760241,1.2214027581601699,0.7139930555555556,0.10684933410216686
0.062996,0.2,1.0650225791324688,1.2214027581601699,0.7142162698412698,0.11901157056936092
0.07937,0.2,1.0826048117555036,1.2214027581601699,0.7176686507936508,0.1321518917349774
0.1,0.2,1.1051709180756477,1.2214027581601699,0.7184424603174603,0.16005468178240517
0.125992,0.2,1.1342730940619756,1.2214027581601699,0.7194494047619048,0.20508683751490958
0.15874,0.2,1.1720331784361693,1.2214027581601699,0.7200049603174603,0.24151068183227353
0.2,0.2,1.2214027581601699,1.2214027581601699,0.7230059523809523,0.31231218869633226
0.251984,0.2,1.2865754519129273,1.2214027581601699,0.7208382936507937,0.4220312274206756
0.31748,0.2,1.3736617713551895,1.2214027581601699,0.7224900793650794,0.5648729180111772
0.4,0.2,1.4918246976412703,1.2214027581601699,0.7145486111111111,0.7629136498372127
0.503968,0.2,1.6552763934649535,1.2214027581601699,0.7063988095238095,0.9643704796011516
0.63496,0.2,1.886946662082677,1.2214027581601699,0.6949603174603175,1.1195540455661508
0.8,0.2,2.225540928492468,1.2214027581601699,0.670858134920635,1.2779917926725572
