access,w_eff,n_vis,n_nat,c_coll,c_idle,T,rho
basic,420,10,10,1.6,1.8675,0.54961,0.86557
basic,420,10,20,1.6,1.8675,0.43929,0.70222
basic,420,10,30,1.6,1.8675,0.33412,0.6887
basic,840,10,5,1.05,1.3388,0.60318,0.81414
basic,840,10,10,1.05,1.3388,0.5556,0.78938
basic,840,10,20,1.05,1.3388,0.43637,0.86343
basic,840,10,30,1.05,1.3388,0.31845,1.10262
basic,840,10,5,1.1,1.3584,0.59408,0.82394
basic,840,10,10,1.1,1.3584,0.5672,0.79554
basic,840,10,20,1.1,1.3584,0.43233,0.83107
basic,840,10,30,1.1,1.3584,0.31287,0.98939
basic,840,10,5,1.2,1.3973,0.58862,0.8434
basic,840,10,10,1.2,1.3973,0.55938,0.79923
basic,840,10,20,1.2,1.3973,0.43113,0.74396
basic,840,10,30,1.2,1.3973,0.3049,0.82908
basic,840,10,5,1.3,1.4361,0.5748,0.86202
basic,840,10,10,1.3,1.4361,0.56211,0.81051
basic,840,10,20,1.3,1.4361,0.43124,0.68884
basic,840,10,30,1.3,1.4361,0.30292,0.62874
basic,840,10,5,1.4,1.4748,0.57056,0.89148
basic,840,10,10,1.4,1.4748,0.55742,0.83596
basic,840,10,20,1.4,1.4748,0.43019,0.62844
basic,840,10,30,1.4,1.4748,0.30195,0.53651
basic,840,10,5,1.5,1.5138,0.56184,0.91136
basic,840,10,10,1.5,1.5138,0.55151,0.85297
basic,840,10,20,1.5,1.5138,0.43151,0.61904
basic,840,10,30,1.5,1.5138,0.30081,0.45262
basic,840,10,5,1.6,1.5532,0.55658,0.92998
basic,840,10,10,1.6,1.5532,0.54752,0.87177
basic,840,10,20,1.6,1.5532,0.42862,0.58447
basic,840,10,30,1.6,1.5532,0.2953,0.35816
basic,1680,10,5,1.05,1.1905,0.60804,0.84277
basic,1680,10,10,1.05,1.1905,0.58515,0.86527
basic,1680,10,20,1.05,1.1905,0.48184,0.9427
basic,1680,10,30,1.05,1.1905,0.38017,1.07782
basic,1680,10,5,1.1,1.2076,0.60051,0.85856
basic,1680,10,10,1.1,1.2076,0.58587,0.87134
basic,1680,10,20,1.1,1.2076,0.48171,0.88391
basic,1680,10,30,1.1,1.2076,0.37594,0.88994
basic,1680,10,5,1.2,1.2427,0.59182,0.89277
basic,1680,10,10,1.2,1.2427,0.57678,0.9025
basic,1680,10,20,1.2,1.2427,0.48516,0.79063
basic,1680,10,30,1.2,1.2427,0.37839,0.59992
basic,1680,10,5,1.3,1.2799,0.57917,0.93107
basic,1680,10,10,1.3,1.2799,0.57345,0.9301
basic,1680,10,20,1.3,1.2799,0.48481,0.74416
basic,1680,10,30,1.3,1.2799,0.37477,0.42746
basic,1680,10,5,1.4,1.3197,0.56719,0.96308
basic,1680,10,10,1.4,1.3197,0.56373,0.97088
basic,1680,10,20,1.4,1.3197,0.48115,0.71163
basic,1680,10,30,1.4,1.3197,0.37067,0.34725
basic,1680,10,5,1.5,1.3626,0.56072,0.99022
basic,1680,10,10,1.5,1.3626,0.55239,0.99194
basic,1680,10,20,1.5,1.3626,0.47835,0.71963
basic,1680,10,30,1.5,1.3626,0.36769,0.28474
basic,1680,10,5,1.6,1.4086,0.545,1.00502
basic,1680,10,10,1.6,1.4086,0.5453,1.04087
basic,1680,10,20,1.6,1.4086,0.47805,0.77036
basic,1680,10,30,1.6,1.4086,0.37003,0.26229
rts,420,5,5,1.05,1.5071,0.7371,0.98746
rts,420,5,10,1.05,1.5071,0.71258,1.02226
rts,420,5,20,1.05,1.5071,0.64808,1.49522
rts,420,5,30,1.05,1.5071,0.57914,2.54603
rts,420,5,5,1.1,1.5234,0.73835,0.99979
rts,420,5,10,1.1,1.5234,0.71205,1.04964
rts,420,5,20,1.1,1.5234,0.64721,1.45942
rts,420,5,30,1.1,1.5234,0.57791,2.35499
rts,420,5,5,1.2,1.5547,0.73543,1.02606
rts,420,5,10,1.2,1.5547,0.71558,1.03637
rts,420,5,20,1.2,1.5547,0.64412,1.28883
rts,420,5,30,1.2,1.5547,0.5693,2.02212
rts,420,5,5,1.3,1.5843,0.73527,1.04477
rts,420,5,10,1.3,1.5843,0.71695,1.02595
rts,420,5,20,1.3,1.5843,0.64495,1.2052
rts,420,5,30,1.3,1.5843,0.56058,1.65529
rts,420,5,5,1.4,1.6124,0.73291,1.06624
rts,420,5,10,1.4,1.6124,0.71575,1.01035
rts,420,5,20,1.4,1.6124,0.64344,1.09898
rts,420,5,30,1.4,1.6124,0.55659,1.30245
rts,420,5,5,1.5,1.6393,0.73353,1.07107
rts,420,5,10,1.5,1.6393,0.71604,1.02427
rts,420,5,20,1.5,1.6393,0.64,1.0105
rts,420,5,30,1.5,1.6393,0.55122,1.15613
rts,420,5,5,1.6,1.665,0.73324,1.09563
rts,420,5,10,1.6,1.665,0.71581,1.02398
rts,420,5,20,1.6,1.665,0.64082,0.89836
rts,420,5,30,1.6,1.665,0.55226,0.83831
rts,420,20,5,1.05,1.5158,0.71534,0.82333
rts,420,20,10,1.05,1.5158,0.71085,0.80723
rts,420,20,20,1.05,1.5158,0.65673,1.00684
rts,420,20,30,1.05,1.5158,0.6067,1.40712
rts,420,20,5,1.1,1.5489,0.71827,0.82377
rts,420,20,10,1.1,1.5489,0.70751,0.81548
rts,420,20,20,1.1,1.5489,0.65829,0.97051
rts,420,20,30,1.1,1.5489,0.60631,1.37094
rts,420,20,5,1.2,1.616,0.71881,0.84846
rts,420,20,10,1.2,1.616,0.70647,0.83111
rts,420,20,20,1.2,1.616,0.65798,0.98954
rts,420,20,30,1.2,1.616,0.60235,1.31391
rts,420,20,5,1.3,1.6846,0.72028,0.87028
rts,420,20,10,1.3,1.6846,0.70743,0.85272
rts,420,20,20,1.3,1.6846,0.65667,0.98349
rts,420,20,30,1.3,1.6846,0.59649,1.2528
rts,420,20,5,1.4,1.755,0.71565,0.8835
rts,420,20,10,1.4,1.755,0.70849,0.84948
rts,420,20,20,1.4,1.755,0.65444,0.98062
rts,420,20,30,1.4,1.755,0.59725,1.22969
rts,420,20,5,1.5,1.8277,0.71113,0.89252
rts,420,20,10,1.5,1.8277,0.70227,0.88957
rts,420,20,20,1.5,1.8277,0.65322,0.99628
rts,420,20,30,1.5,1.8277,0.59114,1.18376
rts,420,20,5,1.6,1.9027,0.70851,0.90803
