n_vis,n_nat,w_eff,access,alpha,candidate,c_idle,c_coll,seed,visits,A_vis,A_nat,coll_air,idle_slots,oh_air,epochs,n_idle,n_coll,n_solo_vis,n_solo_nat,tau_cv_sum,tau_cv_cnt
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,123,30,306.0,8787.0,1110,398,1999,692,398,93,6,195,2.096217369388358,596
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,124,30,727.0,8223.0,1323,458,1869,757,458,111,11,177,2.753260113356565,680
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,125,30,649.0,8670.0,958,374,1949,651,374,80,9,188,1.8956879823843524,580
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,126,30,207.0,8854.0,1138,439,1962,731,439,95,4,193,2.1029496920728086,654
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,127,30,704.0,8530.0,1032,394,1940,675,394,87,11,183,0.2437328455472254,594
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,128,30,1065.0,8171.0,1017,419,1928,699,419,85,14,181,1.1896911182450387,615
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,129,30,431.0,8685.0,1158,400,1926,691,400,97,6,188,2.964325471022823,617
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,130,30,635.0,8399.0,1188,475,1903,768,475,101,11,181,3.253629338320942,680
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,131,30,582.0,8263.0,1383,474,1898,781,474,116,11,180,1.490504302663878,721
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,132,30,325.0,8795.0,1114,418,1948,707,418,94,6,189,2.1356057302501847,637
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,133,30,596.0,8614.0,1045,385,1960,670,385,88,9,188,0.7303448023771603,572
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,134,30,466.0,8430.0,1346,450,1908,754,450,113,8,183,2.373878854213655,674
