method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
cold_high,0.0,10,0,50,42,14,0.15384615384615385,0.04,0.0,0.9199999999999999,0.5
cold_high,0.0,10,0,50,42,15,0.1111111111111111,0.028000000000000004,0.0,0.836190476190476,0.5
cold_high,0.0,10,0,50,42,16,0.047619047619047616,0.012,0.0,0.9199999999999999,0.5
cold_high,0.0,10,0,50,42,17,0.2631578947368421,0.092,0.0,0.8333333333333334,0.5
cold_high,0.0,10,0,50,42,18,0.05263157894736842,0.012,0.0,0.9333333333333333,0.5
cold_high,0.0,10,0,50,42,19,0.08695652173913043,0.04,0.0,0.9047619047619048,0.5
cold_high,0.0,10,0,50,42,20,0.15789473684210525,0.1,0.0,0.86,0.5
cold_high,0.0,10,0,50,42,21,0.1111111111111111,0.05600000000000001,0.0,0.8866666666666667,0.5
cold_high,0.0,10,0,50,42,22,0.15789473684210525,0.04,0.0,0.8866666666666667,0.5
cold_high,0.0,10,0,50,42,23,0.23809523809523808,0.092,0.0,0.7676190476190475,0.5
cold_high,0.0,10,0,50,42,24,0.2222222222222222,0.07200000000000001,0.0,0.8228571428571427,0.5
cold_high,0.0,10,0,50,42,25,0.125,0.032,0.0,0.8533333333333333,0.5
cold_high,0.0,10,0,50,42,26,0.2,0.064,0.0,0.8800000000000001,0.5
cold_high,0.0,10,0,50,42,27,0.21052631578947367,0.064,0.0,0.7409523809523809,0.5
cold_high,0.0,10,0,50,42,28,0.09523809523809523,0.028000000000000004,0.0,0.9,0.5
cold_high,0.0,10,0,50,42,29,0.09523809523809523,0.036,0.0,0.800952380952381,0.5
warm_nv,0.0,10,0,50,42,0,0.7058823529411765,0.32799999999999996,0.0,0.3283882783882784,0.1
warm_nv,0.0,10,0,50,42,1,0.8823529411764706,0.372,0.0,0.35324397824397824,0.13421586488888887
warm_nv,0.0,10,0,50,42,2,0.6,0.292,0.0,0.5051948051948052,0.19928012799999995
warm_nv,0.0,10,0,50,42,3,0.631578947368421,0.296,0.0,0.4921428571428571,0.17914076159999998
warm_nv,0.0,10,0,50,42,4,0.9285714285714286,0.344,0.0,0.39095238095238094,0.16427374079999998
warm_nv,0.0,10,0,50,42,5,0.5238095238095238,0.35200000000000004,0.0,0.3572222222222222,0.156569088
warm_nv,0.0,10,0,50,42,6,0.42857142857142855,0.21600000000000003,0.0,0.5695238095238095,0.1723342472533333
warm_nv,0.0,10,0,50,42,7,0.7142857142857143,0.41200000000000003,0.0,0.3095238095238095,0.1582608682666667
warm_nv,0.0,10,0,50,42,8,1.0666666666666667,0.404,0.0,0.35168831168831166,0.165513216
warm_nv,0.0,10,0,50,42,9,0.7,0.368,0.0,0.46219780219780215,0.19350138879999998
warm_nv,0.0,10,0,50,42,10,0.9090909090909091,0.292,0.0,0.5066666666666666,0.16055616
warm_nv,0.0,10,0,50,42,11,0.6363636363636364,0.376,0.0,0.2478787878787879,0.11840351111111111
warm_nv,0.0,10,0,50,42,12,1.0,0.596,0.0,0.17936507936507934,0.1386267302162963
warm_nv,0.0,10,0,50,42,13,0.8333333333333334,0.496,0.0,0.3301010101010101,0.17372864000000002
warm_nv,0.0,10,0,50,42,14,1.0,0.43599999999999994,0.0,0.29333333333333333,0.18877148159999999
warm_nv,0.0,10,0,50,42,15,0.6666666666666666,0.40800000000000003,0.0,0.399047619047619,0.173290752
warm_nv,0.0,10,0,50,42,16,0.9047619047619048,0.45600000000000007,0.0,0.3333333333333333,0.15080768
warm_nv,0.0,10,0,50,42,17,0.631578947368421,0.28400000000000003,0.0,0.44718614718614713,0.15662016
warm_nv,0.0,10,0,50,42,18,0.7894736842105263,0.384,0.0,0.3496103896103896,0.16160230826666666
warm_nv,0.0,10,0,50,42,19,0.6086956521739131,0.356,0.0,0.3723015873015873,0.16350193493333331
warm_nv,0.0,10,0,50,42,20,0.7368421052631579,0.44000000000000006,0.0,0.3563636363636363,0.16084706133333335
warm_nv,0.0,10,0,50,42,21,0.7222222222222222,0.392,0.0,0.36343434343434344,0.17289984
warm_nv,0.0,10,0,50,42,22,0.42105263157894735,0.18,0.0,0.5345238095238096,0.20939673599999997
warm_nv,0.0,10,0,50,42,23,0.7142857142857143,0.356,0.0,0.3923809523809524,0.17569623466666667
warm_nv,0.0,10,0,50,42,24,0.9444444444444444,0.43200000000000005,0.0,0.3557692307692307,0.1468803591111111
warm_nv,0.0,10,0,50,42,25,0.75,0.364,0.0,0.4444444444444445,0.1479516474074074
warm_nv,0.0,10,0,50,42,26,1.0,0.4720000000000001,0.0,0.2657142857142857,0.14880832000000002
warm_nv,0.0,10,0,50,42,27,0.7368421052631579,0.40800000000000003,0.0,0.325,0.17081595391999999
warm_nv,0.0,10,0,50,42,28,0.7619047619047619,0.376,0.0,0.2696969696969697,0.16048128
warm_nv,0.0,10,0,50,42,29,0.7142857142857143,0.46799999999999997,0.0,0.35333333333333333,0.15650905600000004
warm_high,0.0,10,0,50,42,0,0.17647058823529413,0.05600000000000001,0.0,0.7853968253968254,0.5
warm_high,0.0,10,0,50,42,1,0.6470588235294118,0.268,0.0,0.505,0.3279050925925927
warm_high,0.0,10,0,50,42,2,0.3333333333333333,0.11200000000000002,0.0,0.7242857142857142,0.2825057870370371
warm_high,0.0,10,0,50,42,3,0.6842105263157895,0.35200000000000004,0.0,0.5238095238095238,0.22517505290891893
warm_high,0.0,10,0,50,42,4,0.5714285714285714,0.252,0.0,0.5666666666666667,0.2137597523944627
warm_high,0.0,10,0,50,42,5,0.7142857142857143,0.41600000000000004,0.0,0.3683333333333333,0.15239025616569507
warm_high,0.0,10,0,50,42,6,0.8571428571428571,0.44400000000000006,0.0,0.2783333333333333,0.19268757875477363
warm_high,0.0,10,0,50,42,7,0.42857142857142855,0.312,0.0,0.41960317460317453,0.1905418819936621
warm_high,0.0,10,0,50,42,8,0.9333333333333333,0.33199999999999996,0.0,0.4011544011544011,0.17987701504391485
warm_high,0.0,10,0,50,42,9,0.7,0.38,0.0,0.3909090909090909,0.15358732886189688
warm_high,0.0,10,0,50,42,10,1.3636363636363635,0.42799999999999994,0.0,0.3715873015873016,0.17482084391555816
warm_high,0.0,10,0,50,42,11,0.5909090909090909,0.332,0.0,0.4192857142857142,0.17040799801859477
warm_high,0.0,10,0,50,42,12,0.5789473684210527,0.3,0.0,0.45726495726495725,0.20917025280381557
