method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
oracle,0,30,100,42,0.4806,1.1219762348762348,0.27523213207077146,6.357
pnd,0,30,100,42,0.455,1.0696668914418914,0.2776989708211134,5.995
dcf_self_excl,0,30,100,42,0.42784000000000005,1.0111772477522476,0.17453666960576267,5.66
and,0,30,100,42,0.0029200000000000003,0.011622655122655123,0.9905555555555556,0.067
oracle,1,30,100,123,0.80556,1.0192264513264513,0.2647339700167031,10.499
pnd,1,30,100,123,0.7986000000000001,1.0085993284493284,0.26755561908088443,10.383
dcf_self_excl,1,30,100,123,0.6799199999999999,0.8575494727494728,0.1727995582420038,8.826
and,1,30,100,123,0.38088000000000005,0.5047864746364746,0.8854070342967102,5.2
oracle,0,30,100,123,0.48160000000000003,1.1435757353757354,0.27953504634192977,6.35
pnd,0,30,100,123,0.46088,1.092982622932623,0.27429656249213863,6.09
dcf_self_excl,0,30,100,123,0.42348,0.9864032967032967,0.17483529330726538,5.539
and,0,30,100,123,0.0035600000000000002,0.015111147186147188,0.9897070707070706,0.081
oracle,1,30,100,456,0.8071200000000002,1.0290849289599289,0.25952280131715016,10.682
pnd,1,30,100,456,0.7951600000000001,1.0012233127983128,0.2692133044314175,10.377
dcf_self_excl,1,30,100,456,0.67788,0.8605431568431567,0.1716281495164441,8.929
and,1,30,100,456,0.38676000000000005,0.5168681041181041,0.8834465018439893,5.355
oracle,0,30,100,456,0.48636,1.1271294982794984,0.2766255796919288,6.457
pnd,0,30,100,456,0.45228000000000007,1.0396678932178933,0.2815328587845252,5.965
dcf_self_excl,0,30,100,456,0.4262,0.9962399572649573,0.17337464301974762,5.669
and,0,30,100,456,0.00424,0.01592622655122655,0.9882424242424243,0.09
oracle,1,30,100,789,0.80796,1.023228293928294,0.26046379699884603,10.659
pnd,1,30,100,789,0.7928,1.0087196248196248,0.2694382696799055,10.506
dcf_self_excl,1,30,100,789,0.6762,0.8583590520590522,0.1719602943965573,8.933
and,1,30,100,789,0.3844,0.5145380758130756,0.8844305866018092,5.352
oracle,0,30,100,789,0.48188,1.1380577478077478,0.27696074419054195,6.389
pnd,0,30,100,789,0.45044000000000006,1.0804898046398048,0.27992973004452504,6.063
dcf_self_excl,0,30,100,789,0.42104,0.9944769425019426,0.1741362012407224,5.594
and,0,30,100,789,0.0033200000000000005,0.01441634199134199,0.9902222222222222,0.075
oracle,1,30,100,1234,0.80608,1.0132604082192318,0.2585110150130923,10.536
pnd,1,30,100,1234,0.79568,0.9961085285629403,0.26942114602803585,10.368
dcf_self_excl,1,30,100,1234,0.6858399999999999,0.8590906315090139,0.16893637777595713,8.924
and,1,30,100,1234,0.38400000000000006,0.5162239423974718,0.8831464253839777,5.358
oracle,0,30,100,1234,0.48300000000000004,1.1145283466533464,0.2778903034636552,6.327
pnd,0,30,100,1234,0.4546,1.0595964257964257,0.27719945261235573,6.049
dcf_self_excl,0,30,100,1234,0.4317600000000001,0.9869822483072482,0.17448897459797638,5.624
and,0,30,100,1234,0.0035600000000000007,0.014561183261183261,0.9877979797979799,0.085
oracle,1,50,50,42,0.7835200000000002,1.0579880952380953,0.25130415150635294,5.428
pnd,1,50,50,42,0.7726400000000002,1.0248678571428573,0.2493887761317291,5.262
dcf_self_excl,1,50,50,42,0.6640800000000001,0.8839448412698413,0.14355437300623383,4.555
and,1,50,50,42,0.08752000000000001,0.1877186507936508,0.972039687063419,0.952
