access,w_eff,n_vis,coll_cost,succ_oh,eps,T,rho
basic,105,50,-1,-1,0.93975,0.46992,0.56472
basic,105,50,-1,-1,1.2,0.44775,0.5558
basic,210,5,-1,-1,0.05,0.67025,0.18472
basic,210,5,-1,-1,0.06385,0.67357,0.1865
basic,210,5,-1,-1,0.08153,0.66851,0.1794
basic,210,5,-1,-1,0.10411,0.6676,0.19145
basic,210,5,-1,-1,0.13294,0.66124,0.21687
basic,210,5,-1,-1,0.16975,0.65806,0.23124
basic,210,5,-1,-1,0.21677,0.65597,0.25567
basic,210,5,-1,-1,0.2768,0.6674,0.28793
basic,210,5,-1,-1,0.35345,0.65637,0.31896
basic,210,5,-1,-1,0.45134,0.6456,0.42736
basic,210,5,-1,-1,0.57633,0.6495,0.54874
basic,210,5,-1,-1,0.73594,0.61751,0.64649
basic,210,5,-1,-1,0.93975,0.58884,0.7911
basic,210,5,-1,-1,1.2,0.5362,0.99812
basic,210,10,-1,-1,0.05,0.67256,0.21718
basic,210,10,-1,-1,0.06385,0.67189,0.21926
basic,210,10,-1,-1,0.08153,0.66669,0.21352
basic,210,10,-1,-1,0.10411,0.66478,0.22841
basic,210,10,-1,-1,0.13294,0.66804,0.23266
basic,210,10,-1,-1,0.16975,0.66186,0.24441
basic,210,10,-1,-1,0.21677,0.64891,0.25479
basic,210,10,-1,-1,0.2768,0.63813,0.28257
basic,210,10,-1,-1,0.35345,0.63167,0.36471
basic,210,10,-1,-1,0.45134,0.62543,0.39633
basic,210,10,-1,-1,0.57633,0.62811,0.52271
basic,210,10,-1,-1,0.73594,0.58479,0.59802
basic,210,10,-1,-1,0.93975,0.55683,0.7129
basic,210,10,-1,-1,1.2,0.5055,0.76417
basic,210,20,-1,-1,0.05,0.64763,0.27747
basic,210,20,-1,-1,0.06385,0.64076,0.28346
basic,210,20,-1,-1,0.08153,0.63647,0.29411
basic,210,20,-1,-1,0.10411,0.63813,0.295
basic,210,20,-1,-1,0.13294,0.63951,0.30663
basic,210,20,-1,-1,0.16975,0.62561,0.33284
basic,210,20,-1,-1,0.21677,0.63456,0.35675
basic,210,20,-1,-1,0.2768,0.62013,0.41308
basic,210,20,-1,-1,0.35345,0.61944,0.42112
basic,210,20,-1,-1,0.45134,0.61668,0.48333
basic,210,20,-1,-1,0.57633,0.57292,0.54032
basic,210,20,-1,-1,0.73594,0.56218,0.59462
basic,210,20,-1,-1,0.93975,0.51805,0.63898
basic,210,20,-1,-1,1.2,0.49722,0.71212
basic,210,50,-1,-1,0.05,0.6179,0.44708
basic,210,50,-1,-1,0.06385,0.61008,0.45028
basic,210,50,-1,-1,0.08153,0.60482,0.46274
basic,210,50,-1,-1,0.10411,0.61121,0.47695
basic,210,50,-1,-1,0.13294,0.60588,0.48285
basic,210,50,-1,-1,0.16975,0.61102,0.49541
basic,210,50,-1,-1,0.21677,0.60348,0.51633
basic,210,50,-1,-1,0.2768,0.57517,0.52566
basic,210,50,-1,-1,0.35345,0.59516,0.56244
basic,210,50,-1,-1,0.45134,0.58173,0.56767
basic,210,50,-1,-1,0.57633,0.53844,0.63605
basic,210,50,-1,-1,0.73594,0.53249,0.64294
basic,210,50,-1,-1,0.93975,0.49089,0.65101
basic,210,50,-1,-1,1.2,0.45806,0.66321
