access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,210,5,5,0.5,2.5,2.434577088411869,2.193137804841982,2.7532803765739433,0.7054761904761905,1.0770536374281208,-0.3516372437315585
rts,210,5,5,1.0,1.05,2.6949746746882868,2.390146920247482,3.3223615315942876,0.6931448412698412,1.1305071885131188,-0.38156333414647986
rts,210,5,5,1.0,1.2,2.7145110977010014,2.469937863116345,3.2146961526317877,0.6907109788359788,1.1182439783021356,-0.3825240111437533
rts,210,5,5,1.0,2.5,2.78172119679929,2.4182009246229867,3.2443525881331756,0.6907870370370371,1.1119580805500946,-0.38118568256494606
rts,210,5,10,0.25,1.05,2.8402713060919824,2.456425304095384,3.287232537415451,0.6838095238095239,1.1543663231608625,-0.38522763637215723
rts,210,5,10,0.25,1.2,2.8791760772495643,2.4812333824872694,3.450551983406034,0.689375,1.142318695772093,-0.3763961392154011
rts,210,5,10,0.25,2.5,2.872783580940872,2.653937264205579,3.4798385583757607,0.6834986772486773,1.14767106759662,-0.3852732720682649
rts,210,5,10,0.5,1.05,2.9705753716546015,2.5145905771474566,3.4016573798820255,0.6858167989417989,1.2193523525438208,-0.3968101271388259
rts,210,5,10,0.5,1.2,3.0063986680246386,2.805098596660991,3.445232515419164,0.6855291005291005,1.2043928022792052,-0.3948577803462573
rts,210,5,10,0.5,2.5,3.222909101643081,2.4540133816705603,3.7134224336202246,0.6864451058201059,1.222037386221548,-0.3963330451907196
rts,210,5,10,1.0,1.05,3.3636186125622953,2.9763311593874597,3.947356699996794,0.6705588624338624,1.2909558040172868,-0.46486420529988015
rts,210,5,10,1.0,1.2,3.3949883079266403,2.9976853710352387,3.936365211086884,0.6698412698412698,1.2996168639337593,-0.4693949286924495
rts,210,5,10,1.0,2.5,3.420998214441095,3.092624961144943,3.942283576246542,0.6744378306878307,1.3725548642402507,-0.49415811692971345
rts,210,5,20,0.25,1.05,3.9093129308604233,3.3726225276511,4.0,0.6260747354497355,1.3744284367985582,-0.49357256568266494
rts,210,5,20,0.25,1.2,3.8560154012634658,3.4465463883226084,4.0,0.6291468253968254,1.2701489490383777,-0.4776869113862218
rts,210,5,20,0.25,2.5,3.8786779508644864,3.5241505061742124,4.0,0.6206150793650794,1.401374316089383,-0.5055129301102945
rts,210,5,20,0.5,1.05,3.9840813146434235,3.4305614864249296,4.0,0.6264318783068783,1.450202302981933,-0.5367968289422823
rts,210,5,20,0.5,1.2,3.981783467729429,3.5867875397157167,4.0,0.6316501322751323,1.4011253567487076,-0.5162970886818848
rts,210,5,20,0.5,2.5,3.856665782262769,3.4598187930104043,4.0,0.6229662698412698,1.4553623683017187,-0.54367103065731
rts,210,5,20,1.0,1.05,3.9510875426441556,3.599021106363304,4.0,0.6205952380952381,1.4331016119894417,-0.6065617848607194
rts,210,5,20,1.0,1.2,3.9751630210968463,3.469203008277944,4.0,0.6255886243386243,1.4093548540431822,-0.5868018768149253
rts,210,5,20,1.0,2.5,3.971999375400853,3.756900795951687,4.0,0.623723544973545,1.4859087068806733,-0.6288850414599927
rts,210,20,0,0.25,1.05,1.2210904317860383,1.1643404911173976,1.2737615947523002,0.7029629629629629,1.0,-0.35245107282254734
rts,210,20,0,0.25,1.2,1.2140555735632717,1.1254682463871228,1.2689282503050863,0.7042030423280424,1.0,-0.35068855200916754
rts,210,20,0,0.25,2.5,1.2167937640470174,1.1391003556092971,1.2655077649697755,0.7032473544973544,1.0,-0.3520465934431293
rts,210,20,0,0.5,1.05,1.2527191291598527,1.1464743726345104,1.3136091493948368,0.7063921957671958,1.0,-0.3475846776480984
rts,210,20,0,0.5,1.2,1.2622872766510493,1.2121094845044942,1.3573765009770409,0.7061375661375662,1.0,-0.34794520758418185
rts,210,20,0,0.5,2.5,1.2694227321305869,1.2085421363913325,1.332670026182725,0.7025165343915344,1.0,-0.3530863415508105
rts,210,20,0,1.0,1.05,1.3316679266209692,1.2578442196911277,1.4435463401573774,0.7049173280423281,1.0,-0.34967474823415523
rts,210,20,0,1.0,1.2,1.346011422677328,1.213288077860525,1.404523413175026,0.7068750000000001,1.0,-0.34690143211175195
rts,210,20,0,1.0,2.5,1.337759523564715,1.2767013327650678,1.4058746851913926,0.7040674603174603,1.0,-0.3508811031003768
rts,210,20,5,0.25,1.05,1.6253788930179647,1.3797636521424688,1.774873543008884,0.7243386243386244,0.6675864261542112,-0.3633177414126636
rts,210,20,5,0.25,1.2,1.6231772250407415,1.461677697110857,1.9028498530742226,0.722556216931217,0.6603710840703859,-0.36800662448997706
rts,210,20,5,0.25,2.5,1.620814490882331,1.5034517183668559,1.8280452102547713,0.7258134920634921,0.6784520644437314,-0.3580868375957914
rts,210,20,5,0.5,1.05,1.715008621290806,1.57128314484153,1.8951543202930423,0.7208201058201058,0.6916207421039539,-0.395341989314026
rts,210,20,5,0.5,1.2,1.74155825720754,1.5521577853677224,1.9283137176144636,0.7198412698412698,0.6976358038932512,-0.3935454615110394
