access,w_eff,n_vis,n_nat,eps,T,rho,idle,solo_vis,solo_self,coll_vis,coll_txv,coll_self
rts,420,5,5,0.2768,0.75236,0.59213,0.655547,0.0628,0.012155,0.036734,0.009818,0.008778
rts,420,5,5,0.35345,0.74474,0.79276,0.634192,0.08762,0.018643,0.059173,0.017842,0.016778
rts,420,5,5,0.45134,0.73897,0.99728,0.600784,0.115119,0.023227,0.089642,0.030863,0.028816
rts,420,5,5,0.57633,0.72624,1.17252,0.549827,0.140732,0.029672,0.138266,0.058775,0.059807
rts,420,5,5,0.73594,0.69475,1.32875,0.492006,0.152592,0.028407,0.211735,0.103244,0.099814
rts,420,5,5,0.93975,0.66256,1.41987,0.434197,0.157755,0.034555,0.28368,0.148416,0.144447
rts,420,5,5,1.2,0.52625,1.42899,0.319898,0.112025,0.020963,0.479105,0.301065,0.29516
rts,420,5,10,0.05,0.71925,0.10479,0.597854,0.007152,0.0011,0.005157,0.001045,0.001444
rts,420,5,10,0.06385,0.71822,0.11028,0.597877,0.007671,0.000959,0.005822,0.001178,0.001644
rts,420,5,10,0.08153,0.71945,0.11722,0.595731,0.008288,0.001105,0.006285,0.001271,0.001796
rts,420,5,10,0.10411,0.71774,0.13037,0.597549,0.008899,0.001438,0.008557,0.001739,0.001985
rts,420,5,10,0.13294,0.71558,0.14925,0.594999,0.010248,0.001776,0.01018,0.002063,0.00164
rts,420,5,10,0.16975,0.71558,0.20325,0.593587,0.014113,0.002055,0.011647,0.002384,0.002055
rts,420,5,10,0.21677,0.71671,0.3097,0.592903,0.020905,0.003576,0.015129,0.003218,0.002338
rts,420,5,10,0.2768,0.72215,0.41966,0.582816,0.030284,0.006142,0.023355,0.005328,0.005285
rts,420,5,10,0.35345,0.71776,0.61463,0.577104,0.045066,0.008259,0.038445,0.009469,0.010679
rts,420,5,10,0.45134,0.71515,0.85991,0.556694,0.064783,0.012078,0.066027,0.018754,0.018081
rts,420,5,10,0.57633,0.71627,1.1796,0.530345,0.094347,0.017945,0.093577,0.03207,0.032193
