init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
low,10,50,1234,0.8681960317460319,0.70374,0.06857021616865923,5.693
oracle,10,100,42,1.0040166666666666,0.73716,nan,9.838
optimal,10,100,42,0.9948972222222222,0.7321300000000001,0.19039266969525892,9.838
rand_u01,10,100,42,0.5890194444444444,0.41814999999999997,0.7838083273514457,9.838
rand_u2N,10,100,42,0.9936638888888889,0.73129,0.22878140674550654,9.838
high,10,100,42,0.9506277777777778,0.69652,0.49274939854663646,9.838
low,10,100,42,0.954763888888889,0.70002,0.08304548951561377,9.838
oracle,10,100,123,1.002063492063492,0.73904,nan,9.861
optimal,10,100,123,0.9914095238095239,0.7317899999999999,0.1961032467463859,9.861
rand_u01,10,100,123,0.5769654761904762,0.41047,0.7944194334989103,9.861
rand_u2N,10,100,123,0.990956746031746,0.73098,0.22932600989128657,9.861
high,10,100,123,0.947375,0.6950599999999999,0.4931562736926371,9.861
low,10,100,123,0.9517666666666666,0.6990999999999999,0.08323953575202003,9.861
oracle,10,100,456,0.9989492063492063,0.73462,nan,9.874
optimal,10,100,456,0.9924853174603174,0.7276900000000001,0.19365822502344365,9.874
rand_u01,10,100,456,0.6018126984126984,0.42482000000000003,0.7801389359115632,9.874
rand_u2N,10,100,456,0.9907103174603175,0.72738,0.22749031718823523,9.874
high,10,100,456,0.9511396825396825,0.6932,0.4923632082306914,9.874
low,10,100,456,0.9566123015873017,0.69884,0.07994154015406908,9.874
oracle,10,100,789,1.0011916666666667,0.7346900000000001,nan,9.861
optimal,10,100,789,0.9933361111111112,0.72849,0.194641331646396,9.861
rand_u01,10,100,789,0.5998916666666666,0.42287,0.7807227553829567,9.861
rand_u2N,10,100,789,0.9915694444444444,0.72683,0.2267904673684769,9.861
high,10,100,789,0.9469055555555557,0.69134,0.4947502435526329,9.861
low,10,100,789,0.955302777777778,0.69804,0.07897065749411064,9.861
oracle,10,100,1234,0.9997805555555556,0.7413900000000001,nan,9.864
optimal,10,100,1234,0.989288888888889,0.73178,0.1958743833357495,9.864
