c_coll,c_idle,N,W_eff,seed,efficiency
1.5,3.0,10,100,1234,0.6601722222222209
1.5,5.0,10,100,1234,0.43830277777777754
2.0,1.2,10,100,1234,0.9834499999999968
2.0,1.5,10,100,1234,0.9547722222222196
2.0,2.0,10,100,1234,0.8667972222222189
2.0,3.0,10,100,1234,0.6378305555555553
2.0,5.0,10,100,1234,0.4229222222222223
3.0,1.2,10,100,1234,0.976486111111108
3.0,1.5,10,100,1234,0.9335222222222211
3.0,2.0,10,100,1234,0.7961972222222196
3.0,3.0,10,100,1234,0.6791777777777779
3.0,5.0,10,100,1234,0.4978250000000002
-1.0,-1.0,10,200,42,1.0
1.0,1.2,10,200,42,0.999
1.0,1.5,10,200,42,0.9431999999999988
1.0,2.0,10,200,42,0.7422999999999996
1.0,3.0,10,200,42,0.4703999999999998
1.0,5.0,10,200,42,0.5025999999999994
1.2,1.2,10,200,42,1.0
1.2,1.5,10,200,42,0.9907999999999993
1.2,2.0,10,200,42,0.9087999999999985
1.2,3.0,10,200,42,0.7222999999999997
1.2,5.0,10,200,42,0.4525
1.5,1.2,10,200,42,1.0
1.5,1.5,10,200,42,0.9774999999999994
1.5,2.0,10,200,42,0.8914999999999991
1.5,3.0,10,200,42,0.7051999999999994
1.5,5.0,10,200,42,0.4333999999999998
2.0,1.2,10,200,42,1.0
2.0,1.5,10,200,42,0.9801999999999995
2.0,2.0,10,200,42,0.8917999999999985
2.0,3.0,10,200,42,0.7069999999999987
2.0,5.0,10,200,42,0.4415999999999997
3.0,1.2,10,200,42,0.9995999999999999
3.0,1.5,10,200,42,0.9557999999999992
3.0,2.0,10,200,42,0.8120999999999988
3.0,3.0,10,200,42,0.8691999999999986
3.0,5.0,10,200,42,0.5239999999999998
-1.0,-1.0,10,200,123,1.0
1.0,1.2,10,200,123,0.9999
1.0,1.5,10,200,123,0.9382999999999987
1.0,2.0,10,200,123,0.7408999999999997
1.0,3.0,10,200,123,0.4961000000000001
1.0,5.0,10,200,123,0.5123000000000006
1.2,1.2,10,200,123,1.0
1.2,1.5,10,200,123,0.9901999999999995
1.2,2.0,10,200,123,0.9021999999999984
1.2,3.0,10,200,123,0.7155999999999993
1.2,5.0,10,200,123,0.4489000000000003
1.5,1.2,10,200,123,1.0
1.5,1.5,10,200,123,0.9825999999999995
1.5,2.0,10,200,123,0.8884999999999988
1.5,3.0,10,200,123,0.7168999999999999
1.5,5.0,10,200,123,0.43760000000000004
2.0,1.2,10,200,123,0.9999
2.0,1.5,10,200,123,0.9754999999999987
2.0,2.0,10,200,123,0.8920999999999989
2.0,3.0,10,200,123,0.7060999999999996
2.0,5.0,10,200,123,0.4320000000000003
3.0,1.2,10,200,123,0.9987999999999999
3.0,1.5,10,200,123,0.9505999999999994
3.0,2.0,10,200,123,0.8114999999999987
3.0,3.0,10,200,123,0.8729999999999992
3.0,5.0,10,200,123,0.5084999999999995
-1.0,-1.0,10,200,456,1.0
1.0,1.2,10,200,456,0.9999
1.0,1.5,10,200,456,0.9401999999999991
1.0,2.0,10,200,456,0.7414999999999987
1.0,3.0,10,200,456,0.4910999999999997
1.0,5.0,10,200,456,0.5086999999999998
1.2,1.2,10,200,456,1.0
1.2,1.5,10,200,456,0.9917999999999995
1.2,2.0,10,200,456,0.8990999999999985
1.2,3.0,10,200,456,0.7109000000000001
1.2,5.0,10,200,456,0.44890000000000013
1.5,1.2,10,200,456,1.0
1.5,1.5,10,200,456,0.9834999999999995
1.5,2.0,10,200,456,0.8875999999999984
1.5,3.0,10,200,456,0.708199999999999
1.5,5.0,10,200,456,0.4303
2.0,1.2,10,200,456,0.9997
2.0,1.5,10,200,456,0.975
2.0,2.0,10,200,456,0.8934999999999989
2.0,3.0,10,200,456,0.7119999999999995
2.0,5.0,10,200,456,0.4316000000000006
3.0,1.2,10,200,456,0.9996
3.0,1.5,10,200,456,0.9584000000000001
3.0,2.0,10,200,456,0.8123999999999995
3.0,3.0,10,200,456,0.8925999999999994
3.0,5.0,10,200,456,0.5174
-1.0,-1.0,10,200,789,1.0
1.0,1.2,10,200,789,1.0
1.0,1.5,10,200,789,0.9359999999999993
1.0,2.0,10,200,789,0.7295999999999997
1.0,3.0,10,200,789,0.46650000000000025
1.0,5.0,10,200,789,0.5077999999999999
1.2,1.2,10,200,789,1.0
1.2,1.5,10,200,789,0.9924999999999996
1.2,2.0,10,200,789,0.9015999999999993
1.2,3.0,10,200,789,0.7174999999999994
1.2,5.0,10,200,789,0.44049999999999956
1.5,1.2,10,200,789,1.0
1.5,1.5,10,200,789,0.9827999999999992
1.5,2.0,10,200,789,0.8840999999999993
1.5,3.0,10,200,789,0.6996999999999989
1.5,5.0,10,200,789,0.41819999999999974
2.0,1.2,10,200,789,1.0
2.0,1.5,10,200,789,0.9766999999999993
2.0,2.0,10,200,789,0.8977999999999993
2.0,3.0,10,200,789,0.7198999999999987
2.0,5.0,10,200,789,0.4524999999999996
3.0,1.2,10,200,789,0.9995
3.0,1.5,10,200,789,0.9538999999999995
3.0,2.0,10,200,789,0.8161999999999989
3.0,3.0,10,200,789,0.8848999999999984
