obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
300,280,10,4,42,108,0.05263157894736842,50
300,280,10,4,123,109,0.05263157894736842,50
300,280,10,4,456,101,0.0425531914893617,60
300,280,10,5,42,111,0.0,40
300,280,10,5,123,108,0.0,30
300,280,10,5,456,96,0.0,50
300,280,20,0,42,130,0.6977777777777778,100
300,280,20,0,123,126,0.7203389830508474,100
300,280,20,0,456,129,0.6943396226415094,120
300,280,20,1,42,141,0.5793103448275863,100
300,280,20,1,123,127,0.5789473684210527,120
300,280,20,1,456,130,0.541871921182266,140
300,280,20,2,42,123,0.2967032967032967,100
300,280,20,2,123,117,0.36633663366336633,100
300,280,20,2,456,112,0.3076923076923077,140
300,280,20,3,42,115,0.20689655172413793,80
300,280,20,3,123,131,0.19047619047619047,60
300,280,20,3,456,96,0.24468085106382978,140
300,280,20,4,42,117,0.10909090909090909,120
300,280,20,4,123,104,0.18181818181818182,80
300,280,20,4,456,97,0.056338028169014086,160
300,280,20,5,42,106,0.05,120
300,280,20,5,123,108,0.10526315789473684,100
300,280,20,5,456,89,0.08695652173913043,140
300,280,30,0,42,112,0.8365384615384616,120
300,280,30,0,123,116,0.8409785932721713,120
300,280,30,0,456,125,0.8302238805970149,210
300,280,30,1,42,115,0.6923076923076923,180
300,280,30,1,123,117,0.6792452830188679,150
300,280,30,1,456,130,0.706601466992665,270
300,280,30,2,42,114,0.46774193548387094,150
300,280,30,2,123,114,0.43884892086330934,180
300,280,30,2,456,128,0.44502617801047123,240
300,280,30,3,42,115,0.23157894736842105,180
300,280,30,3,123,112,0.15730337078651685,180
300,280,30,3,456,109,0.23684210526315788,240
300,280,30,4,42,105,0.15730337078651685,210
300,280,30,4,123,124,0.15,120
300,280,30,4,456,118,0.16326530612244897,120
300,280,30,5,42,110,0.19047619047619047,120
300,280,30,5,123,110,0.058823529411764705,120
300,280,30,5,456,108,0.03508771929824561,240
300,280,50,0,42,113,0.9175392670157068,299
300,280,50,0,123,118,0.9081527347781218,350
300,280,50,0,456,117,0.9214035087719298,500
300,280,50,1,42,126,0.8399014778325123,250
300,280,50,1,123,119,0.8394160583941606,300
300,280,50,1,456,117,0.8522727272727273,200
300,280,50,2,42,123,0.6022727272727273,300
300,280,50,2,123,118,0.5172413793103449,200
300,280,50,2,456,121,0.599250936329588,400
300,280,50,3,42,106,0.3790322580645161,300
300,280,50,3,123,125,0.3595505617977528,250
300,280,50,3,456,113,0.4823529411764706,350
300,280,50,4,42,122,0.23728813559322035,200
300,280,50,4,123,114,0.18666666666666668,250
300,280,50,4,456,109,0.10256410256410256,300
300,280,50,5,42,104,0.09523809523809523,300
300,280,50,5,123,116,0.0,200
300,280,50,5,456,97,0.0759493670886076,400
500,480,5,0,42,124,0.2571428571428571,20
500,480,5,0,123,136,0.2288135593220339,25
500,480,5,0,456,136,0.2953020134228188,25
500,480,5,1,42,127,0.21875,15
500,480,5,1,123,116,0.17582417582417584,20
500,480,5,1,456,135,0.09174311926605505,25
500,480,5,2,42,116,0.0,15
500,480,5,2,123,109,0.14035087719298245,15
500,480,5,2,456,115,0.0851063829787234,30
500,480,5,3,42,110,0.08333333333333333,10
500,480,5,3,123,104,0.037037037037037035,25
500,480,5,3,456,104,0.08955223880597014,25
500,480,5,4,42,93,0.0,20
500,480,5,4,123,71,0.0,25
500,480,5,4,456,90,0.0,25
500,480,5,5,42,93,0.0,15
500,480,5,5,123,94,0.0,15
500,480,5,5,456,82,0.0,25
500,480,10,0,42,119,0.48717948717948717,30
500,480,10,0,123,113,0.432258064516129,40
500,480,10,0,456,128,0.4338235294117647,40
500,480,10,1,42,119,0.3412698412698413,40
500,480,10,1,123,127,0.344,40
500,480,10,1,456,122,0.3,40
500,480,10,2,42,120,0.21621621621621623,30
500,480,10,2,123,124,0.17647058823529413,30
500,480,10,2,456,117,0.14814814814814814,60
500,480,10,3,42,113,0.10810810810810811,40
500,480,10,3,123,108,0.1694915254237288,30
500,480,10,3,456,106,0.10989010989010989,50
500,480,10,4,42,111,0.07142857142857142,20
500,480,10,4,123,104,0.05,30
500,480,10,4,456,93,0.0,50
500,480,10,5,42,99,0.0,30
500,480,10,5,123,94,0.05405405405405406,50
500,480,10,5,456,93,0.0,40
500,480,20,0,42,124,0.7114093959731543,40
500,480,20,0,123,112,0.6855524079320113,100
500,480,20,0,456,123,0.6894586894586895,100
500,480,20,1,42,129,0.5865384615384616,40
500,480,20,1,123,122,0.5,80
500,480,20,1,456,119,0.5675675675675675,60
500,480,20,2,42,133,0.39705882352941174,40
500,480,20,2,123,116,0.3469387755102041,60
500,480,20,2,456,120,0.3375,100
500,480,20,3,42,132,0.16326530612244897,60
500,480,20,3,123,110,0.2,80
500,480,20,3,456,107,0.13043478260869565,100
500,480,20,4,42,120,0.16216216216216217,40
