method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_med,homo,5,50,123,1000,2.653,2.738,0.9999999999999962,3.105,0.1323531710936125,0.12421096997529037,0.6441013754219636
ema_no_coll,homo,5,50,123,1000,2.678,2.738,1.0091666666666625,2.722,0.17141918775668774,0.10541202623265009,0.5073741272616272
consec_L2,homo,5,50,123,1000,2.57,2.738,0.9686666666666627,3.662,0.12182630269197633,0.13265250474191242,0.7804884423754779
consec_L4,homo,5,50,123,1000,2.518,2.738,0.9508333333333282,4.132,0.10332209040959067,0.13867239845570442,0.23190351686067645
dcf_self_excl,homo,5,50,123,1000,2.365,2.738,0.8911666666666617,4.756,0.17402451393635623,0.0,0.0
oracle,homo,5,50,456,1000,2.742,2.753,1.0296666666666636,1.983,0.23228130064380045,0.0,0.0
mfg_no_excl,homo,5,50,456,1000,2.754,2.753,1.032166666666664,1.945,0.23159970446220407,0.0,0.0
self_excl_only,homo,5,50,456,1000,2.741,2.753,1.0274999999999972,2.036,0.23009162504162442,0.0,0.0
ema_fixed_low,homo,5,50,456,1000,2.534,2.753,0.9496666666666618,4.063,0.10723778024521088,0.1396501050586921,0.9579672860249482
ema_fixed_high,homo,5,50,456,1000,2.549,2.753,0.9559999999999951,3.765,0.12307810223402348,0.1296546128964246,1.6991813125041462
ema_adaptive,homo,5,50,456,1000,2.534,2.753,0.950333333333329,4.099,0.10348708863805647,0.13673392655515432,0.9842440830239595
ema_ad_low,homo,5,50,456,1000,2.675,2.753,1.004166666666663,2.839,0.15400927493129513,0.11401403529949519,0.524760177219581
ema_ad_med,homo,5,50,456,1000,2.657,2.753,0.9966666666666631,3.212,0.12340148217795308,0.12326028138599394,0.6785062596717006
ema_no_coll,homo,5,50,456,1000,2.696,2.753,1.0103333333333306,2.692,0.1653576472031579,0.10551573087886415,0.5191586969145402
consec_L2,homo,5,50,456,1000,2.568,2.753,0.9621666666666627,3.671,0.12567997657657135,0.13283287233580857,0.778522102321484
consec_L4,homo,5,50,456,1000,2.502,2.753,0.9371666666666624,4.196,0.10428520581156062,0.13861176486779453,0.23887092830629997
dcf_self_excl,homo,5,50,456,1000,2.405,2.753,0.9019999999999944,4.457,0.17116907509415255,0.0,0.0
oracle,homo,5,50,789,1000,2.744,2.756,1.0256666666666638,2.076,0.21981873469667546,0.0,0.0
mfg_no_excl,homo,5,50,789,1000,2.738,2.756,1.0253333333333299,1.965,0.23630868298368263,0.0,0.0
self_excl_only,homo,5,50,789,1000,2.762,2.756,1.032499999999997,1.973,0.22609629928894617,0.0,0.0
ema_fixed_low,homo,5,50,789,1000,2.539,2.756,0.9481666666666618,4.054,0.10754921661156222,0.13749440452467734,0.9981785167661709
ema_fixed_high,homo,5,50,789,1000,2.555,2.756,0.9561666666666623,3.614,0.12150674195085982,0.12993771391040163,1.6712912412750647
ema_adaptive,homo,5,50,789,1000,2.519,2.756,0.9414999999999955,3.985,0.10265841298364538,0.13819711143740052,0.9456343111566793
ema_ad_low,homo,5,50,789,1000,2.663,2.756,0.9961666666666622,2.967,0.15355676238965735,0.11161608442900427,0.5951716980388034
ema_ad_med,homo,5,50,789,1000,2.611,2.756,0.977666666666662,3.297,0.13208346707901678,0.12252892695606159,0.6919362701239252
ema_no_coll,homo,5,50,789,1000,2.666,2.756,0.9959999999999963,2.822,0.16405007370080885,0.10476367489480044,0.5516421100957868
consec_L2,homo,5,50,789,1000,2.571,2.756,0.9608333333333288,3.795,0.1264763172113409,0.1329456688922025,0.8182921436234907
