access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,420,20,5,0.034,2.0,0.04172,0.02508,0.74882,1.09257,0.74384,0.99842,0.75799,0.99817
rts,420,20,5,0.034,5.0,0.022203,0.03415,0.76433,0.92984,0.77675,0.84281,0.78104,0.82243
rts,420,20,5,0.07,3.0,0.032654,0.02946,0.75438,1.02484,0.76114,0.9434,0.7704,0.93506
rts,420,20,5,0.145,5.0,0.025187,0.03424,0.75374,0.92674,0.77286,0.87744,0.7785,0.86081
rts,420,20,10,0.017,1.0,0.058554,0.01407,0.71879,1.35735,0.66142,1.10883,0.68871,1.1245
rts,420,20,10,0.017,3.0,0.029664,0.02054,0.7556,1.18313,0.73176,0.87326,0.74139,0.85931
rts,420,20,10,0.034,2.0,0.039375,0.01753,0.74489,1.25792,0.711,0.97701,0.72589,0.97415
rts,420,20,10,0.034,5.0,0.018229,0.02524,0.75794,0.93862,0.75162,0.68754,0.75604,0.66109
rts,420,20,10,0.07,3.0,0.03095,0.01955,0.75076,1.17722,0.7292,0.88917,0.73948,0.87673
rts,420,20,10,0.145,5.0,0.019316,0.02605,0.75258,0.92569,0.74998,0.70958,0.75485,0.68414
rts,420,20,20,0.017,1.0,0.054943,0.00928,0.72,1.76328,0.57936,1.13973,0.60858,1.15475
rts,420,20,20,0.017,3.0,0.023138,0.0145,0.74825,1.33001,0.66988,0.70109,0.6792,0.68212
rts,420,20,20,0.034,2.0,0.035952,0.01193,0.74211,1.59246,0.63656,0.91883,0.65313,0.91194
rts,420,20,20,0.034,5.0,0.007772,0.02004,0.73989,0.66749,0.70305,0.30292,0.70551,0.28447
rts,420,20,20,0.07,3.0,0.0249,0.01507,0.74833,1.34428,0.66558,0.73572,0.67582,0.71807
rts,420,20,20,0.145,5.0,0.00882,0.02037,0.73525,0.6655,0.70105,0.3372,0.70391,0.31761
rts,420,50,5,0.017,1.0,0.022757,0.02147,0.71605,1.00568,0.708,0.92558,0.73113,0.91314
rts,420,50,5,0.017,3.0,0.012844,0.02764,0.75976,0.91539,0.76115,0.82257,0.77008,0.79668
rts,420,50,5,0.034,2.0,0.016042,0.02663,0.74656,0.95252,0.74612,0.86672,0.75923,0.84607
rts,420,50,5,0.034,5.0,0.008891,0.03372,0.76539,0.81968,0.77602,0.73868,0.78033,0.70495
rts,420,50,5,0.07,3.0,0.013192,0.02918,0.75536,0.90386,0.75962,0.82816,0.76899,0.8029
rts,420,50,5,0.145,5.0,0.009053,0.03622,0.75998,0.78368,0.77552,0.74307,0.78,0.70969
rts,420,50,10,0.017,1.0,0.022503,0.0142,0.7144,1.07689,0.6676,0.86879,0.69287,0.85034
rts,420,50,10,0.017,3.0,0.011245,0.02103,0.75431,0.90935,0.7342,0.67733,0.74304,0.64303
rts,420,50,10,0.034,2.0,0.015471,0.01863,0.74515,1.00107,0.71194,0.76997,0.72633,0.74176
rts,420,50,10,0.034,5.0,0.006936,0.02596,0.76327,0.73042,0.75257,0.53176,0.75666,0.49356
rts,420,50,10,0.07,3.0,0.01231,0.01953,0.75997,0.93725,0.72894,0.70415,0.73911,0.67132
