sweep,config,method,seed,succ_v,succ_n,coll_air,idle_air,oh_air,useful
A,63,oracle,456,0.4254,0.16666666666666666,0.3687,0.014323809523809523,0.0,0.5920666666666666
A,63,dcf_conv,789,0.28868095238095237,0.18523809523809523,0.4704,0.022095238095238095,0.0,0.47391904761904763
A,63,pace,789,0.3984714285714286,0.03595238095238095,0.5262,0.006952380952380952,0.0,0.43442380952380955
A,63,oracle,789,0.4496142857142857,0.16785714285714284,0.342,0.013961904761904762,0.0,0.6174714285714286
A,63,dcf_conv,1234,0.2997761904761905,0.17809523809523808,0.4674,0.022614285714285715,0.0,0.47787142857142856
A,63,pace,1234,0.394,0.041666666666666664,0.5286,0.007495238095238096,0.0,0.43566666666666665
A,63,oracle,1234,0.4501809523809524,0.16380952380952382,0.3426,0.014052380952380952,0.0,0.6139904761904762
A,94,dcf_conv,42,0.2566857142857143,0.1438095238095238,0.5662380952380952,0.018738095238095238,0.0,0.40049523809523807
A,94,pace,42,0.2995809523809524,0.023095238095238096,0.6620285714285714,0.005728571428571428,0.0,0.32267619047619045
A,94,oracle,42,0.3800904761904762,0.15047619047619049,0.4467238095238095,0.012509523809523809,0.0,0.5305666666666666
A,94,dcf_conv,123,0.2596,0.14523809523809525,0.5586285714285715,0.01875238095238095,0.0,0.4048380952380952
A,94,pace,123,0.3057952380952381,0.02976190476190476,0.6486,0.005704761904761905,0.0,0.33555714285714283
A,94,oracle,123,0.37673809523809526,0.14523809523809525,0.45836190476190475,0.012576190476190477,0.0,0.5219761904761905
A,94,dcf_conv,456,0.26303809523809524,0.1569047619047619,0.5465428571428571,0.018166666666666668,0.0,0.4199428571428571
A,94,pace,456,0.3102761904761905,0.03666666666666667,0.6342761904761904,0.005842857142857143,0.0,0.34694285714285716
A,94,oracle,456,0.3809142857142857,0.14166666666666666,0.45612380952380954,0.011576190476190476,0.0,0.5225809523809524
A,94,dcf_conv,789,0.239,0.14714285714285713,0.5787714285714286,0.01864761904761905,0.0,0.3861428571428571
A,94,pace,789,0.3138952380952381,0.03380952380952381,0.6360666666666667,0.005890476190476191,0.0,0.3477047619047619
A,94,oracle,789,0.38445238095238093,0.14809523809523809,0.44493333333333335,0.012295238095238095,0.0,0.532547619047619
A,94,dcf_conv,1234,0.24683809523809525,0.14809523809523809,0.5680285714285714,0.018957142857142856,0.0,0.39493333333333336
A,94,pace,1234,0.31010952380952383,0.027142857142857142,0.6436761904761905,0.005561904761904762,0.0,0.33725238095238097
A,94,oracle,1234,0.3842190476190476,0.1457142857142857,0.44717142857142855,0.012380952380952381,0.0,0.5299333333333334
A,125,dcf_conv,42,0.19804761904761906,0.13095238095238096,0.6619047619047619,0.015542857142857143,0.0,0.329
A,125,pace,42,0.2582,0.029523809523809525,0.719047619047619,0.005304761904761905,0.0,0.28772380952380955
A,125,oracle,42,0.32762380952380954,0.13690476190476192,0.5380952380952381,0.010814285714285714,0.0,0.4645285714285714
A,125,dcf_conv,123,0.21607619047619048,0.13380952380952382,0.638095238095238,0.0156,0.0,0.3498857142857143
A,125,pace,123,0.23884761904761906,0.02119047619047619,0.7488095238095238,0.0051142857142857144,0.0,0.26003809523809523
A,125,oracle,123,0.3376142857142857,0.12976190476190477,0.5345238095238095,0.010952380952380953,0.0,0.4673761904761905
A,125,dcf_conv,456,0.2099904761904762,0.13642857142857143,0.6446428571428572,0.015819047619047618,0.0,0.3464190476190476
A,125,pace,456,0.26557142857142857,0.024761904761904763,0.7136904761904762,0.0051,0.0,0.29033333333333333
A,125,oracle,456,0.33767619047619046,0.13166666666666665,0.5327380952380952,0.010266666666666667,0.0,0.4693428571428571
