topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,200,dcf_topology,42,32,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,42,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,42,4,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,42,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,42,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,42,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,42,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,123,16,4.666666666666667,1.9206480387850577,0.0,15.0,1
complete,16,20,dcf_topology,123,32,4.666666666666667,1.3249737942901194,0.0,15.0,1
complete,16,20,mfg_full_N,123,,8.0,2.3523038352503134,0.0,15.0,1
complete,16,20,mfg_perfect_local,123,,8.0,2.3523038352503134,0.0,15.0,1
complete,16,20,mfg_carrier_sense,123,,7.533333333333333,1.8208667044996885,0.0,15.0,1
complete,16,20,oracle_topology,123,16,4.933333333333334,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,123,16,11.033333333333333,2.040969268645551,0.0,15.0,1
complete,16,50,dcf_topology,123,32,11.233333333333333,2.2163533613172386,0.0,15.0,1
complete,16,50,mfg_full_N,123,,15.766666666666667,0.7608474807008884,0.0,15.0,1
complete,16,50,mfg_perfect_local,123,,15.766666666666667,0.7608474807008884,0.0,15.0,1
complete,16,50,mfg_carrier_sense,123,,14.133333333333333,1.1756794725698934,0.0,15.0,1
complete,16,50,oracle_topology,123,17,11.266666666666667,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,123,16,15.366666666666667,0.8359957469322967,0.0,15.0,1
complete,16,100,dcf_topology,123,32,15.1,0.8698658900466595,0.0,15.0,1
complete,16,100,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,123,,15.933333333333334,0.24944382578492943,0.0,15.0,1
complete,16,100,oracle_topology,123,16,15.533333333333333,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,123,16,15.966666666666667,0.17950549357115012,0.0,15.0,1
complete,16,200,dcf_topology,123,32,15.933333333333334,0.24944382578492943,0.0,15.0,1
complete,16,200,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,123,,16.0,0.0,0.0,15.0,1
