method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_med,homo,10,20,789,1000,1.732,1.623,0.9976666666666663,10.392,0.5196000000000045,1.839,0.21238809523809488,0.029747639443522485,1.4626210317460275
ema_no_coll,homo,10,20,789,1000,1.67,1.623,1.0021666666666669,10.02,0.5010000000000049,1.605,0.2648202380952374,0.022537820917434667,1.202798809523807
consec_L2,homo,10,20,789,1000,1.623,1.623,0.9373333333333332,9.738,0.4869000000000044,2.035,0.21124007936507877,0.03906799290389532,1.3945936507936465
consec_L4,homo,10,20,789,1000,1.706,1.623,0.9963333333333332,10.236,0.5118000000000047,2.12,0.18531507936507877,0.03890137896875908,0.14406349206349212
dcf_self_excl,homo,10,20,789,1000,1.369,1.623,0.7976666666666662,8.214,0.4107000000000046,2.743,0.19109523809523762,0.0,0.0
pnd,homo,10,20,789,1000,1.601,1.623,0.9336666666666666,9.606,0.4803000000000049,1.403,0.30111190476190347,0.0,0.0
pnd_cd,homo,10,20,789,1000,1.64,1.623,0.9709999999999995,9.84,0.49200000000000516,1.439,0.28613571428571377,0.0,0.0
and,homo,10,20,789,1000,0.037,1.623,0.020333333333333328,0.222,0.011100000000000006,0.002,0.9871666666666662,0.0,0.0
oracle,homo,10,20,1234,1000,1.659,1.639,1.0115,9.954,0.4977000000000051,1.467,0.28105595238095155,0.0,0.0
mfg_no_excl,homo,10,20,1234,1000,1.676,1.639,1.0366666666666666,10.056,0.5028000000000051,1.494,0.2758103174603167,0.0,0.0
self_excl_only,homo,10,20,1234,1000,1.665,1.639,1.0216666666666667,9.99,0.4995000000000044,1.505,0.2767761904761895,0.0,0.0
ema_fixed_low,homo,10,20,1234,1000,1.672,1.639,1.018833333333333,10.032,0.501600000000005,2.206,0.18763293650793605,0.03881814614784,1.4967011904761853
ema_fixed_high,homo,10,20,1234,1000,1.657,1.639,0.9911666666666665,9.942,0.49710000000000465,1.975,0.20918968253968184,0.03860688740915441,3.4301515873015904
ema_adaptive,homo,10,20,1234,1000,1.673,1.639,1.029666666666667,10.038,0.5019000000000047,2.143,0.1937031746031739,0.03883302300152887,1.9234797619047532
ema_ad_low,homo,10,20,1234,1000,1.736,1.639,1.0628333333333335,10.416,0.5208000000000051,1.638,0.24294841269841214,0.025197899972538858,1.1762690476190454
ema_ad_med,homo,10,20,1234,1000,1.653,1.639,1.0063333333333329,9.918,0.49590000000000456,1.901,0.22490793650793595,0.029225203838447678,1.6020579365079308
ema_no_coll,homo,10,20,1234,1000,1.619,1.639,0.9895,9.714,0.4857000000000046,1.571,0.27955873015872984,0.022057843107798902,1.1687575396825378
consec_L2,homo,10,20,1234,1000,1.634,1.639,0.9784999999999997,9.804,0.4902000000000045,2.035,0.2046539682539677,0.038979206396490836,1.4032674603174546
consec_L4,homo,10,20,1234,1000,1.65,1.639,1.005,9.9,0.49500000000000416,2.127,0.19387460317460287,0.03991822434656787,0.14915277777777777
dcf_self_excl,homo,10,20,1234,1000,1.357,1.639,0.828,8.142,0.40710000000000485,2.748,0.19441666666666604,0.0,0.0
pnd,homo,10,20,1234,1000,1.66,1.639,1.0304999999999997,9.96,0.4980000000000053,1.452,0.2796047619047611,0.0,0.0
pnd_cd,homo,10,20,1234,1000,1.64,1.639,1.0061666666666662,9.84,0.49200000000000477,1.452,0.282084523809523,0.0,0.0
and,homo,10,20,1234,1000,0.04,1.639,0.019499999999999997,0.24,0.012000000000000007,0.001,0.9864166666666663,0.0,0.0
