N,W_eff,protocol,seed,CW0,mean_success,std_success
30,100,dcf_qsrc_star,123,60,20.756,2.8007970294185904
30,100,mfg_precommit,123,30,21.23,2.6546374517059763
30,100,mfg_adaptive,123,,29.949,0.4176110630718492
30,100,oracle,123,30,21.243333333333332,0.0
30,100,dcf_qsrc_star,456,60,20.681,2.841696500332152
30,100,mfg_precommit,456,30,21.148,2.702239071584896
30,100,mfg_adaptive,456,,29.953,0.43907971941322915
30,100,oracle,456,30,21.356666666666666,0.0
30,200,dcf_qsrc_star,42,60,28.34,1.5402597183592126
30,200,mfg_precommit,42,30,28.695,1.322866206386723
30,200,mfg_adaptive,42,,30.0,0.0
30,200,oracle,42,26,28.89,0.0
30,200,dcf_qsrc_star,123,60,28.478,1.444131572953102
30,200,mfg_precommit,123,30,28.765,1.3393188567327798
30,200,mfg_adaptive,123,,30.0,0.0
30,200,oracle,123,11,28.783333333333335,0.0
30,200,dcf_qsrc_star,456,60,28.392,1.4561373561584086
30,200,mfg_precommit,456,30,28.654,1.3785078889872193
30,200,mfg_adaptive,456,,30.0,0.0
30,200,oracle,456,26,28.776666666666667,0.0
30,500,dcf_qsrc_star,42,60,29.962,0.20138520303140445
30,500,mfg_precommit,42,30,29.974,0.16529972776747093
30,500,mfg_adaptive,42,,30.0,0.0
30,500,oracle,42,15,29.996666666666666,0.0
30,500,dcf_qsrc_star,123,60,29.969,0.18449661243502546
30,500,mfg_precommit,123,30,29.979,0.14338409953687334
30,500,mfg_adaptive,123,,30.0,0.0
30,500,oracle,123,17,30.0,0.0
30,500,dcf_qsrc_star,456,60,29.969,0.19503589413233655
30,500,mfg_precommit,456,30,29.986,0.1334316304329674
30,500,mfg_adaptive,456,,30.0,0.0
30,500,oracle,456,40,29.993333333333332,0.0
50,20,dcf_qsrc_star,42,100,4.502,1.4401374934359568
50,20,mfg_precommit,42,50,4.652,1.5022969080711044
50,20,mfg_adaptive,42,,7.442,2.1644019959332876
50,20,oracle,42,67,4.77,0.0
50,20,dcf_qsrc_star,123,100,4.494,1.4226608872110038
50,20,mfg_precommit,123,50,4.649,1.5471906799098811
50,20,mfg_adaptive,123,,7.555,2.116358901509855
50,20,oracle,123,67,4.74,0.0
50,20,dcf_qsrc_star,456,100,4.447,1.4440190441957474
50,20,mfg_precommit,456,50,4.588,1.5395635745236376
50,20,mfg_adaptive,456,,7.509,2.176216671197976
50,20,oracle,456,67,4.8933333333333335,0.0
50,50,dcf_qsrc_star,42,100,11.225,2.107694237786876
50,50,mfg_precommit,42,50,11.273,2.4727456399718917
50,50,mfg_adaptive,42,,18.642,3.3615228691770045
50,50,oracle,42,67,11.913333333333334,0.0
50,50,dcf_qsrc_star,123,100,11.182,2.245634876822143
50,50,mfg_precommit,123,50,11.301,2.54998019600153
50,50,mfg_adaptive,123,,18.653,3.361635167593295
50,50,oracle,123,67,11.783333333333333,0.0
50,50,dcf_qsrc_star,456,100,11.226,2.2038430071128023
50,50,mfg_precommit,456,50,11.296,2.5160254370733215
50,50,mfg_adaptive,456,,18.797,3.5253072206546765
50,50,oracle,456,67,12.046666666666667,0.0
50,100,dcf_qsrc_star,42,100,22.441,2.9428759742809416
50,100,mfg_precommit,42,50,21.519,3.213975575513915
50,100,mfg_adaptive,42,,37.661,4.822455702233044
50,100,oracle,42,67,23.7,0.0
50,100,dcf_qsrc_star,123,100,22.383,3.0692525148641647
50,100,mfg_precommit,123,50,21.711,3.324978045040298
50,100,mfg_adaptive,123,,37.628,5.087201195156331
50,100,oracle,123,67,23.64666666666667,0.0
50,100,dcf_qsrc_star,456,100,22.463,3.047397414188048
50,100,mfg_precommit,456,50,21.74,3.366065953008051
50,100,mfg_adaptive,456,,37.742,5.086200546576983
50,100,oracle,456,67,23.536666666666665,0.0
50,200,dcf_qsrc_star,42,100,37.204,3.3172856373848787
50,200,mfg_precommit,42,50,39.89,3.3745962721487146
50,200,mfg_adaptive,42,,50.0,0.0
50,200,oracle,42,50,39.9,0.0
50,200,dcf_qsrc_star,123,100,37.29,3.577415268039203
50,200,mfg_precommit,123,50,40.024,3.491621972665426
50,200,mfg_adaptive,123,,50.0,0.0
50,200,oracle,123,50,40.21,0.0
50,200,dcf_qsrc_star,456,100,37.456,3.3172374048295064
50,200,mfg_precommit,456,50,40.034,3.514945803280614
50,200,mfg_adaptive,456,,50.0,0.0
50,200,oracle,456,50,39.99,0.0
50,500,dcf_qsrc_star,42,100,49.288,0.9170910532766089
50,500,mfg_precommit,42,50,49.542,0.7760386588308601
50,500,mfg_adaptive,42,,50.0,0.0
50,500,oracle,42,67,49.64,0.0
50,500,dcf_qsrc_star,123,100,49.271,0.9846618708978225
50,500,mfg_precommit,123,50,49.539,0.7864343583542114
50,500,mfg_adaptive,123,,50.0,0.0
50,500,oracle,123,44,49.653333333333336,0.0
50,500,dcf_qsrc_star,456,100,49.342,0.9343639547842157
50,500,mfg_precommit,456,50,49.527,0.7637218079903179
50,500,mfg_adaptive,456,,50.0,0.0
50,500,oracle,456,67,49.65,0.0
