num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
10,fixed_q2_arq,False,False,2,123,207.63319044703002,841.0,1697.0,1.7158603796693204,1633,0.1921259842519685
10,fixed_q2_arq,False,False,2,456,212.80433436532508,844.0,1629.0,1.7442724458204335,1615,0.21074043938161108
10,fixed_q3_arq,False,False,3,42,229.16175507531108,946.0,1622.0,1.6745252128356254,1527,0.11610076670317634
10,fixed_q3_arq,False,False,3,123,221.95646523716698,965.0,1829.0,1.5977907732293697,1539,0.08143322475570032
10,fixed_q3_arq,False,False,3,456,233.46046511627907,992.0,1904.0,1.6425249169435217,1505,0.09175257731958762
10,adaptive_arq,False,True,0,42,206.080204778157,828.0,1572.0,2.1023890784982937,1758,0.47396856581532415
10,adaptive_arq,False,True,0,123,212.80784766301213,898.0,1505.0,2.1609924985574147,1733,0.479014598540146
10,adaptive_arq,False,True,0,456,209.13992004568817,837.0,1484.0,2.1404911479154767,1751,0.4761229314420804
10,fixed_q0_harq,True,False,0,42,202.69205479452054,834.0,1525.0,2.130958904109589,1825,0.49823321554770317
10,fixed_q0_harq,True,False,0,123,198.67549295774648,805.0,1377.0,2.16,1775,0.49912739965095987
10,fixed_q0_harq,True,False,0,456,204.4171364148816,851.0,1624.0,2.1544532130777903,1774,0.5056234718826406
10,fixed_q1_harq,True,False,1,42,201.86983588002263,814.0,1664.0,1.8319185059422751,1767,0.3290441176470588
10,fixed_q1_harq,True,False,1,123,201.46022727272728,838.0,1568.0,1.8409090909090908,1760,0.32207967589466574
10,fixed_q1_harq,True,False,1,456,206.1400576368876,822.0,1734.0,1.8945244956772334,1735,0.3600252206809584
10,fixed_q2_harq,True,False,2,42,199.1017149615612,789.0,1700.0,1.6410408042578355,1691,0.15895710681244743
10,fixed_q2_harq,True,False,2,123,198.48591549295776,820.0,1555.0,1.6343896713615023,1704,0.18009478672985782
10,fixed_q2_harq,True,False,2,456,203.60872162485066,804.0,1640.0,1.7467144563918757,1674,0.1924839596700275
10,fixed_q3_harq,True,False,3,42,222.3514724711908,870.0,1738.0,1.6440460947503202,1562,0.11286919831223628
10,fixed_q3_harq,True,False,3,123,223.88069275176395,904.0,1529.0,1.6318152661962797,1559,0.1068334937439846
10,fixed_q3_harq,True,False,3,456,223.1235446313066,955.0,1732.0,1.6985769728331177,1546,0.12155963302752294
10,adaptive_harq,True,True,0,42,208.52351274787534,841.0,1648.0,2.0974504249291783,1765,0.47365945437441204
10,adaptive_harq,True,True,0,123,205.09447922595334,882.0,1551.0,2.112122936824132,1757,0.4658981748318924
10,adaptive_harq,True,True,0,456,207.43872411863458,812.0,1672.0,2.047565752658086,1787,0.4655086848635236
20,fixed_q0_arq,False,False,0,42,362.9811006114508,1301.0,2107.0,3.308504724847137,1799,0.7137315748642359
20,fixed_q0_arq,False,False,0,123,347.3583521444695,1256.0,2001.0,3.5276523702031604,1772,0.7372021703231895
20,fixed_q0_arq,False,False,0,456,343.2335396736072,1280.0,1812.0,3.494091164884637,1777,0.7339209147212958
20,fixed_q1_arq,False,False,1,42,415.5031339031339,1702.0,2951.0,2.4962962962962965,1755,0.5536406721240844
20,fixed_q1_arq,False,False,1,123,416.16742857142856,1656.0,2743.0,2.5302857142857142,1750,0.5508704061895551
20,fixed_q1_arq,False,False,1,456,427.7341986455982,1745.0,2916.0,2.459367945823928,1772,0.5470514429109159
20,fixed_q2_arq,False,False,2,42,428.5141723356009,1806.0,3408.0,2.0255102040816326,1764,0.338490099009901
20,fixed_q2_arq,False,False,2,123,435.9690058479532,1789.0,3045.0,2.0631578947368423,1710,0.3323170731707317
20,fixed_q2_arq,False,False,2,456,443.42748538011693,1840.0,3367.0,2.0748538011695907,1710,0.3333333333333333
20,fixed_q3_arq,False,False,3,42,460.49158653846155,1760.0,3709.0,1.8707932692307692,1664,0.18212765957446808
20,fixed_q3_arq,False,False,3,123,485.7156983930779,2094.0,3936.0,1.9283065512978987,1618,0.18475336322869956
20,fixed_q3_arq,False,False,3,456,480.8545119705341,1963.0,3818.0,1.9760589318600368,1629,0.18616567036720752
20,adaptive_arq,False,True,0,42,361.3182589033352,1290.0,2210.0,3.225551158846806,1769,0.6977753662506783
20,adaptive_arq,False,True,0,123,380.56850828729284,1378.0,2441.0,2.9430939226519337,1810,0.674645390070922
20,adaptive_arq,False,True,0,456,376.0375483158476,1412.0,2427.0,3.0469353948094975,1811,0.6807917479788124
20,fixed_q0_harq,True,False,0,42,353.0677491601344,1273.0,1999.0,3.355543113101904,1786,0.7177822177822177
20,fixed_q0_harq,True,False,0,123,359.7877437325905,1363.0,2063.0,3.3760445682451254,1795,0.7248930279385855
20,fixed_q0_harq,True,False,0,456,357.0344827586207,1356.0,2083.0,3.378745053702657,1769,0.7291275167785235
20,fixed_q1_harq,True,False,1,42,407.04532577903683,1704.0,2800.0,2.443626062322946,1765,0.5406451612903226
20,fixed_q1_harq,True,False,1,123,406.46565315315314,1603.0,2839.0,2.475225225225225,1776,0.5474883917264669
20,fixed_q1_harq,True,False,1,456,417.98639455782313,1677.0,3132.0,2.447845804988662,1764,0.5419327373350362
20,fixed_q2_harq,True,False,2,42,423.1771720613288,1686.0,3042.0,2.031800113571834,1761,0.33667083854818525
20,fixed_q2_harq,True,False,2,123,433.88895315211107,1826.0,2937.0,2.0271833429728168,1729,0.31790865384615385
20,fixed_q2_harq,True,False,2,456,436.06253553155204,1737.0,3204.0,2.044911881750995,1759,0.332286432160804
20,fixed_q3_harq,True,False,3,42,454.23818073010176,1929.0,3489.0,1.8563734290843805,1671,0.1442392260334213
20,fixed_q3_harq,True,False,3,123,460.64804804804805,1880.0,3771.0,1.8666666666666667,1665,0.1926605504587156
20,fixed_q3_harq,True,False,3,456,453.9498820754717,1943.0,3266.0,1.8649764150943395,1696,0.18668831168831168
20,adaptive_harq,True,True,0,42,376.4081976417743,1474.0,2520.0,3.0842223469960697,1781,0.6924413553431799
20,adaptive_harq,True,True,0,123,377.8748609566185,1362.0,2487.0,3.1056729699666294,1798,0.6856986000548998
20,adaptive_harq,True,True,0,456,388.59234234234236,1439.0,2497.0,3.043355855855856,1776,0.6786372007366482
30,fixed_q0_arq,False,False,0,42,400.0914844649022,1335.0,2013.0,5.1455696202531644,1738,0.8256719048318402
30,fixed_q0_arq,False,False,0,123,403.73638968481373,1412.0,2175.0,4.974785100286533,1745,0.8335463258785942
30,fixed_q0_arq,False,False,0,456,406.78199883109295,1393.0,1934.0,5.264757451782583,1711,0.8347314201618837
30,fixed_q1_arq,False,False,1,42,563.0906499429875,2177.0,3469.0,3.2462941847206386,1754,0.6814084507042254
30,fixed_q1_arq,False,False,1,123,545.6153846153846,2094.0,3212.0,3.198529411764706,1768,0.6791881248106635
30,fixed_q1_arq,False,False,1,456,601.0045045045046,2403.0,3606.0,3.190315315315315,1776,0.6766091051805337
30,fixed_q2_arq,False,False,2,42,677.437641723356,2664.0,4894.0,2.434807256235828,1764,0.4544065206316862
30,fixed_q2_arq,False,False,2,123,648.4033994334278,2664.0,4403.0,2.3977337110481587,1765,0.45102840352595497
30,fixed_q2_arq,False,False,2,456,675.7580459770115,2662.0,4617.0,2.3620689655172415,1740,0.4327543424317618
30,fixed_q3_arq,False,False,3,42,708.1435378201311,2942.0,5256.0,2.1179273377010124,1679,0.2656137832017229
30,fixed_q3_arq,False,False,3,123,704.4659224441833,3097.0,5011.0,2.0687426556991775,1702,0.2431818181818182
30,fixed_q3_arq,False,False,3,456,714.0365781710915,2868.0,4934.0,2.055457227138643,1695,0.24185372918175235
30,adaptive_arq,False,True,0,42,448.7842799770511,1562.0,2499.0,4.655192197360872,1743,0.8132801664355063
30,adaptive_arq,False,True,0,123,425.23495032144945,1522.0,2339.0,4.8673290473407365,1711,0.8216655607166556
30,adaptive_arq,False,True,0,456,444.605561861521,1594.0,2658.0,4.555051078320091,1762,0.8130277442702051
30,fixed_q0_harq,True,False,0,42,421.3045197740113,1476.0,1993.0,4.994915254237288,1770,0.8305722891566265
30,fixed_q0_harq,True,False,0,123,411.58820160366554,1392.0,1807.0,5.104238258877434,1746,0.8345887778631822
30,fixed_q0_harq,True,False,0,456,412.1345265588915,1422.0,1954.0,5.068129330254042,1732,0.8320433436532507
30,fixed_q1_harq,True,False,1,42,543.6349206349206,2024.0,3158.0,3.203065134099617,1827,0.6842723004694836
30,fixed_q1_harq,True,False,1,123,550.8843995510662,1934.0,3344.0,3.2356902356902357,1782,0.6715672676837725
30,fixed_q1_harq,True,False,1,456,564.2290377039955,2240.0,3340.0,3.1631963984243106,1777,0.6905210295040803
30,fixed_q2_harq,True,False,2,42,659.7571921749137,2775.0,4702.0,2.424626006904488,1738,0.4531658817373103
30,fixed_q2_harq,True,False,2,123,661.6795895096922,2727.0,4611.0,2.3683010262257698,1754,0.4429494079655544
30,fixed_q2_harq,True,False,2,456,650.6858608893957,2860.0,4589.0,2.4007981755986316,1754,0.445364238410596
30,fixed_q3_harq,True,False,3,42,706.441573693482,3115.0,5282.0,2.126834997064005,1703,0.26249067859806113
30,fixed_q3_harq,True,False,3,123,691.806936416185,2779.0,5232.0,2.098843930635838,1730,0.24723247232472326
30,fixed_q3_harq,True,False,3,456,699.7485448195577,2869.0,5621.0,2.136204889406286,1718,0.26164596273291924
30,adaptive_harq,True,True,0,42,453.17745535714283,1599.0,2828.0,4.536830357142857,1792,0.8063433461990267
30,adaptive_harq,True,True,0,123,435.99429549343984,1563.0,2732.0,4.602395892755276,1753,0.8165492957746479
30,adaptive_harq,True,True,0,456,445.3697242543613,1510.0,2436.0,4.657850309510411,1777,0.8202416918429003
50,fixed_q0_arq,False,False,0,42,435.26902654867257,1359.0,1981.0,9.416519174041298,1695,0.9204571255581624
50,fixed_q0_arq,False,False,0,123,411.9,1261.0,1791.0,9.718072289156627,1660,0.9209197135318508
50,fixed_q0_arq,False,False,0,456,428.0590643274854,1421.0,1998.0,8.987719298245613,1710,0.9232928742465527
50,fixed_q1_arq,False,False,1,42,693.45698005698,2151.0,3197.0,5.474643874643875,1755,0.8351193027575368
50,fixed_q1_arq,False,False,1,123,678.1711199545197,2229.0,3296.0,5.5008527572484365,1759,0.8331210191082803
50,fixed_q1_arq,False,False,1,456,654.4145225843339,2196.0,3210.0,5.427101200686106,1749,0.8382778031340332
50,fixed_q2_arq,False,False,2,42,1008.4515765765766,4044.0,6983.0,3.0416666666666665,1776,0.59609375
50,fixed_q2_arq,False,False,2,123,1001.0408963585434,3876.0,5995.0,3.123809523809524,1785,0.618346166722464
50,fixed_q2_arq,False,False,2,456,1005.7203872437358,4037.0,6436.0,3.0677676537585423,1756,0.600494233937397
