obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
80,60,5,0,42,833,0.2755102040816326,670
80,60,5,0,123,806,0.280359820089955,655
80,60,5,0,456,808,0.28955223880597014,650
80,60,5,1,42,742,0.18426501035196688,630
80,60,5,1,123,788,0.1586998087954111,695
80,60,5,1,456,758,0.2182952182952183,610
80,60,5,2,42,738,0.06451612903225806,610
80,60,5,2,123,694,0.09042553191489362,650
80,60,5,2,456,705,0.08588957055214724,580
80,60,5,3,42,648,0.02459016393442623,647
80,60,5,3,123,650,0.043795620437956206,657
80,60,5,3,456,634,0.06334841628959276,565
80,60,5,4,42,544,0.0,228
80,60,5,4,123,548,0.0,239
80,60,5,4,456,532,0.0,182
80,60,5,5,42,526,0.0,97
80,60,5,5,123,499,0.0,65
80,60,5,5,456,523,0.0,92
80,60,10,0,42,807,0.5409219190968956,1270
80,60,10,0,123,847,0.49209486166007904,1330
80,60,10,0,456,805,0.5232558139534884,1280
80,60,10,1,42,781,0.3042168674698795,1290
80,60,10,1,123,804,0.26576576576576577,1340
80,60,10,1,456,807,0.26929392446633826,1240
80,60,10,2,42,755,0.13963039014373715,1350
80,60,10,2,123,713,0.13291139240506328,1340
80,60,10,2,456,741,0.17067833698030635,1220
80,60,10,3,42,715,0.040229885057471264,1295
80,60,10,3,123,706,0.06629834254143646,1346
80,60,10,3,456,688,0.09705882352941177,1255
80,60,10,4,42,570,0.0136986301369863,636
80,60,10,4,123,549,0.0,620
80,60,10,4,456,580,0.015748031496062992,545
80,60,10,5,42,544,0.0,346
80,60,10,5,123,504,0.0,303
80,60,10,5,456,546,0.0,238
80,60,20,0,42,789,0.7588377723970944,2620
80,60,20,0,123,771,0.7871307163091865,2820
80,60,20,0,456,784,0.7788018433179723,2300
80,60,20,1,42,787,0.5202839756592292,2480
80,60,20,1,123,808,0.5004926108374385,2620
80,60,20,1,456,801,0.46396396396396394,2480
80,60,20,2,42,738,0.3501577287066246,2440
80,60,20,2,123,788,0.24879614767255218,2640
80,60,20,2,456,778,0.2696629213483146,2620
80,60,20,3,42,735,0.2029598308668076,2471
80,60,20,3,123,738,0.18317757009345795,2798
80,60,20,3,456,739,0.14285714285714285,2575
80,60,20,4,42,631,0.04780876494023904,1471
80,60,20,4,123,598,0.04580152671755725,1579
80,60,20,4,456,628,0.06639004149377593,1362
80,60,20,5,42,535,0.02,908
80,60,20,5,123,528,0.019230769230769232,837
80,60,20,5,456,556,0.022988505747126436,708
80,60,30,0,42,731,0.8911205073995772,3570
80,60,30,0,123,756,0.9017017465293328,3900
80,60,30,0,456,738,0.8923526546517292,3840
80,60,30,1,42,799,0.6388692579505301,3960
80,60,30,1,123,771,0.6324728260869565,4170
80,60,30,1,456,762,0.6371212121212121,3720
80,60,30,2,42,772,0.39365918097754293,3690
80,60,30,2,123,771,0.3873563218390805,4230
80,60,30,2,456,753,0.38482384823848237,3690
80,60,30,3,42,766,0.20491803278688525,3536
80,60,30,3,123,716,0.2629757785467128,3894
80,60,30,3,456,757,0.19734345351043645,3864
80,60,30,4,42,658,0.07384615384615385,2463
80,60,30,4,123,634,0.08883248730964467,2910
80,60,30,4,456,645,0.06796116504854369,2197
80,60,30,5,42,550,0.0,1513
80,60,30,5,123,540,0.012987012987012988,1332
80,60,30,5,456,602,0.03125,1258
80,60,50,0,42,700,0.9634313725490196,6350
80,60,50,0,123,725,0.9623191129486939,6750
80,60,50,0,456,679,0.9641277168686286,6400
80,60,50,1,42,768,0.8279825604439159,5900
80,60,50,1,123,737,0.8278961384820239,7000
80,60,50,1,456,742,0.818301803783546,5550
80,60,50,2,42,754,0.5750615258408531,6750
80,60,50,2,123,774,0.5888529886914378,6650
80,60,50,2,456,747,0.5631067961165048,6500
80,60,50,3,42,741,0.3287037037037037,6093
80,60,50,3,123,734,0.3723849372384937,6144
80,60,50,3,456,709,0.3861111111111111,6198
80,60,50,4,42,683,0.1318407960199005,4249
80,60,50,4,123,669,0.16216216216216217,4831
80,60,50,4,456,686,0.15258855585831063,3705
80,60,50,5,42,588,0.05405405405405406,2685
80,60,50,5,123,615,0.03463203463203463,2602
80,60,50,5,456,618,0.03980099502487562,2302
150,130,5,0,42,774,0.28525641025641024,345
150,130,5,0,123,777,0.3157099697885196,350
