method,ppdu_dist,N,W_eff,seed,W_eff_utilization,mean_jain,p_success_small,p_success_large,class_gap,p_cond_small,p_cond_large
ema_ad_low,bimodal,10,200,42,0.40012000000000014,1.0,1.0,1.0,0.0,0.06123999656850129,0.06221166639724443
consec_L2,bimodal,10,200,42,0.40012000000000014,1.0,1.0,1.0,0.0,0.05659180738173705,0.05729894404104725
dcf_self_excl,bimodal,10,200,42,0.39924000000000015,0.9982000000000001,0.9989993996397839,0.9974015590645613,0.0015978405752226088,0.04002341112990772,0.04045202503323714
and,bimodal,10,200,42,0.40012000000000014,1.0,1.0,1.0,0.0,0.0416708362520431,0.04119288943047928
oracle,bimodal,10,200,123,0.39944000000000013,1.0,1.0,1.0,0.0,0.07405766276734019,0.0734683051896384
pnd,bimodal,10,200,123,0.39944000000000013,1.0,1.0,1.0,0.0,0.06824368466898954,0.06892547588437772
ema_ad_low,bimodal,10,200,123,0.39944000000000013,1.0,1.0,1.0,0.0,0.06268361899761217,0.06126737199100527
consec_L2,bimodal,10,200,123,0.39944000000000013,1.0,1.0,1.0,0.0,0.05550696881469263,0.0571101311494187
dcf_self_excl,bimodal,10,200,123,0.39854000000000006,0.9979,0.9982050259274032,0.9975932611311673,0.0006117647962359252,0.04056737588652482,0.03966886783424251
and,bimodal,10,200,123,0.3993800000000001,0.9999,1.0,0.9997994384275972,0.00020056157240277983,0.04068484258357676,0.040847263192395934
oracle,bimodal,10,200,456,0.39704000000000006,1.0,1.0,1.0,0.0,0.07427684740601943,0.07426279925224627
pnd,bimodal,10,200,456,0.39704000000000006,1.0,1.0,1.0,0.0,0.06910735201983056,0.06740281597635565
ema_ad_low,bimodal,10,200,456,0.39704000000000006,1.0,1.0,1.0,0.0,0.06248460666962219,0.06182539284100608
consec_L2,bimodal,10,200,456,0.39704000000000006,1.0,1.0,1.0,0.0,0.05689744107291036,0.05756152282128584
dcf_self_excl,bimodal,10,200,456,0.39600000000000013,0.9977999999999999,0.9986204178163185,0.9969549330085262,0.0016654848077922724,0.040226736847119346,0.04033443662376701
and,bimodal,10,200,456,0.3970200000000001,0.9999,0.9998029168309026,1.0,-0.00019708316909738954,0.04088458345758013,0.04120279369327924
oracle,bimodal,10,200,789,0.39592000000000005,1.0,1.0,1.0,0.0,0.07360281600738625,0.07359879789631855
pnd,bimodal,10,200,789,0.39592000000000005,1.0,1.0,1.0,0.0,0.06892173020290168,0.06848529761322165
ema_ad_low,bimodal,10,200,789,0.39592000000000005,1.0,1.0,1.0,0.0,0.06292007350130108,0.06221104506426866
consec_L2,bimodal,10,200,789,0.39592000000000005,1.0,1.0,1.0,0.0,0.05613625860968686,0.056653750506043606
dcf_self_excl,bimodal,10,200,789,0.3956000000000001,0.999,0.9986279890239121,0.9993875051041241,-0.0007595160802119638,0.04003425895368755,0.04041479866907752
and,bimodal,10,200,789,0.39586000000000005,0.9999,1.0,0.999795835034708,0.00020416496529196415,0.040659218055179226,0.040291925159209464
oracle,bimodal,10,200,1234,0.40112000000000014,1.0,1.0,1.0,0.0,0.07336471352053238,0.07329232383895513
pnd,bimodal,10,200,1234,0.40100000000000013,0.9997999999999999,1.0,0.9996022275258553,0.00039777247414474193,0.06952290396554617,0.06920577219651906
ema_ad_low,bimodal,10,200,1234,0.40112000000000014,1.0,1.0,1.0,0.0,0.06250157133878063,0.0625077699594719
consec_L2,bimodal,10,200,1234,0.40112000000000014,1.0,1.0,1.0,0.0,0.056229078078349766,0.055742175807363556
dcf_self_excl,bimodal,10,200,1234,0.3998600000000001,0.9973,0.9981898632341111,0.9964200477326969,0.0017698155014141959,0.03969479080853242,0.04022384045346158
and,bimodal,10,200,1234,0.40100000000000013,0.9997999999999999,1.0,0.9996022275258553,0.00039777247414474193,0.04056788511749347,0.04039218837900828
oracle,bimodal,20,20,42,0.727,0.11555000000000001,0.16508158974872358,0.06612726001398461,0.09895432973473897,0.029018917729872414,0.018099794941900206
pnd,bimodal,20,20,42,0.7008000000000001,0.1078,0.14535989588547402,0.06832484267305963,0.07703505321241438,0.024716155718589886,0.019010561423012783
ema_ad_low,bimodal,20,20,42,0.692,0.10650000000000001,0.14365802382620882,0.06742583158525622,0.0762321922409526,0.024154182797508836,0.018651561204752694
consec_L2,bimodal,20,20,42,0.6645999999999999,0.10785000000000003,0.1395535088597457,0.06422934771751074,0.07532416114223497,0.021719823623813903,0.01689348956964952
dcf_self_excl,bimodal,20,20,42,0.6243999999999998,0.096,0.12904194614075484,0.06103286384976526,0.06800908229098959,0.01829121198790992,0.01466529054556801
and,bimodal,20,20,42,0.2492,0.25559999999999994,0.10761838021824006,0.005693736889421637,0.10192464332881843,0.00769120698290048,0.0006490105435747956
oracle,bimodal,20,20,123,0.7176000000000001,0.11570000000000001,0.16298760205624432,0.06518503819823396,0.09780256385801037,0.02841328413284133,0.01796554552912223
pnd,bimodal,20,20,123,0.7034000000000001,0.10875000000000001,0.1485737324866445,0.0675662268082151,0.08100750567842939,0.02547352412553574,0.018566988385408146
ema_ad_low,bimodal,20,20,123,0.6994,0.10775,0.14353391795181938,0.06855838872904058,0.07497552922277881,0.024424966981698427,0.019191245903460535
consec_L2,bimodal,20,20,123,0.6726,0.10075000000000002,0.13214393710311462,0.06786387538446274,0.06428006171865187,0.021273143265127296,0.018320119991429185
dcf_self_excl,bimodal,20,20,123,0.613,0.09595000000000002,0.12962402983570204,0.05883520190495089,0.07078882793075114,0.017971686906941318,0.013584715476954091
and,bimodal,20,20,123,0.25160000000000005,0.2305,0.11349662332426166,0.004365512451632106,0.10913111087262956,0.008140190564319073,0.0004972481833489665
oracle,bimodal,20,20,456,0.7328000000000001,0.11570000000000001,0.1624380574826561,0.0681130171543895,0.09432504032826661,0.02915955024195844,0.01967012472316121
pnd,bimodal,20,20,456,0.6972,0.10800000000000003,0.14539147670961347,0.06791120080726538,0.07748027590234809,0.024798417769663777,0.018689772001444085
ema_ad_low,bimodal,20,20,456,0.692,0.10950000000000001,0.15113974231912786,0.06508577194752775,0.0860539703716001,0.0251169378746953,0.017623913875075142
consec_L2,bimodal,20,20,456,0.6584000000000001,0.10760000000000003,0.13597621407333993,0.06458123107971746,0.07139498299362247,0.020777175394493745,0.01673115131234968
dcf_self_excl,bimodal,20,20,456,0.6184,0.09370000000000002,0.12537165510406342,0.061453077699293646,0.06391857740476978,0.01748106793433199,0.014338858542098324
and,bimodal,20,20,456,0.2364,0.26489999999999997,0.1016848364717542,0.005247225025227043,0.09643761144652717,0.007179996780898129,0.000596132020314345
oracle,bimodal,20,20,789,0.7264,0.11380000000000001,0.15806132542037588,0.0685540950455005,0.08950723037487537,0.02801051709027169,0.019409137753349365
pnd,bimodal,20,20,789,0.705,0.10815000000000001,0.14658753709198813,0.06885743174924165,0.07773010534274648,0.024817884953529264,0.018659579131959668
ema_ad_low,bimodal,20,20,789,0.6968,0.10720000000000002,0.14282888229475765,0.06875631951466127,0.07407256278009638,0.024093169152734673,0.018880497556641493
consec_L2,bimodal,20,20,789,0.67,0.10380000000000002,0.1363996043521266,0.06643073811931244,0.06996886623281418,0.021739130434782608,0.01778511680788284
dcf_self_excl,bimodal,20,20,789,0.6212000000000001,0.0964,0.1265084075173096,0.061577350859454,0.0649310566578556,0.01766940664502314,0.015074257425742574
and,bimodal,20,20,789,0.24520000000000003,0.2625,0.10702274975272008,0.004853387259858443,0.10216936249286164,0.007622831860900931,0.0005519271456167786
oracle,bimodal,20,20,1234,0.7314,0.11385000000000002,0.15609022556390978,0.06982543640897755,0.08626478915493223,0.02813821520222648,0.019937907659004814
pnd,bimodal,20,20,1234,0.7044000000000001,0.10990000000000001,0.15398496240601503,0.06603491271820448,0.08795004968781055,0.02641217436161981,0.017851364469852228
ema_ad_low,bimodal,20,20,1234,0.6972,0.10740000000000002,0.14526315789473684,0.06773067331670823,0.07753248457802861,0.024603942743619784,0.018852732119058198
consec_L2,bimodal,20,20,1234,0.6646,0.10365000000000002,0.1331328320802005,0.06633416458852869,0.0667986674916718,0.021076688674454037,0.017494475428811954
dcf_self_excl,bimodal,20,20,1234,0.6137999999999999,0.09695000000000002,0.12571428571428572,0.06034912718204489,0.06536515853224084,0.01740844601160563,0.014444311806135849
and,bimodal,20,20,1234,0.24780000000000002,0.23014999999999997,0.10977443609022557,0.004788029925187032,0.10498640616503853,0.007812054106500771,0.000542562931648374
oracle,bimodal,20,50,42,0.7872800000000002,0.27435000000000004,0.33136450095104614,0.21746079312755967,0.11390370782348647,0.02630094317883847,0.020335531600874326
pnd,bimodal,20,50,42,0.7697600000000002,0.26289999999999997,0.30793873260586646,0.2179602437318949,0.08997848887397156,0.023492213812749643,0.019974002672964612
ema_ad_low,bimodal,20,50,42,0.7651200000000001,0.25889999999999996,0.298828711582741,0.21905903506143243,0.07976967652130856,0.02264966992943319,0.02026090652081524
consec_L2,bimodal,20,50,42,0.7320000000000002,0.24630000000000002,0.2817098808689559,0.21096793527120167,0.07074194559775421,0.019537189394097185,0.017573785769560406
dcf_self_excl,bimodal,20,50,42,0.6704000000000001,0.2277,0.2643908299129042,0.19108980121865948,0.07330102869424471,0.015623983198745821,0.013386983904828552
and,bimodal,20,50,42,0.4030400000000001,0.1535,0.20882971268395234,0.09829187893317351,0.11053783375077883,0.006892267840268554,0.0035469429244976967
